cell_id,Petrochelidon fulva,Petrochelidon fulva [fulva Group],Petrochelidon fulva pallida,Petrochelidon fulva citata
841aa07ffffffff,5.0,0.0,0.0,0.0
841aa35ffffffff,4.0,0.0,0.0,0.0
8426409ffffffff,1.0,0.0,0.0,0.0
8426489ffffffff,13.0,0.0,0.0,0.0
8426493ffffffff,2.0,0.0,0.0,0.0
84264c7ffffffff,1.0,0.0,0.0,0.0
84264e5ffffffff,4.0,0.0,0.0,0.0
842652bffffffff,6.0,0.0,4.0,0.0
8426593ffffffff,2.0,0.0,0.0,0.0
84265b9ffffffff,24.0,0.0,0.0,0.0
84265dbffffffff,3.0,0.0,0.0,0.0
84266b1ffffffff,4.0,0.0,0.0,0.0
84268d3ffffffff,7.0,0.0,0.0,0.0
8426a87ffffffff,3.0,0.0,3.0,0.0
8426c1bffffffff,1.0,0.0,0.0,0.0
8426c27ffffffff,2.0,0.0,0.0,0.0
8426c31ffffffff,19.0,0.0,0.0,0.0
8426c37ffffffff,22.0,0.0,0.0,0.0
8426c3bffffffff,22.0,0.0,0.0,0.0
8426c87ffffffff,1.0,0.0,0.0,0.0
8426c89ffffffff,69.0,0.0,0.0,0.0
8426ca1ffffffff,1.0,0.0,0.0,0.0
8426ca3ffffffff,4.0,0.0,0.0,0.0
8426ca7ffffffff,2.0,0.0,0.0,0.0
8426cb1ffffffff,14.0,0.0,0.0,0.0
8426cb3ffffffff,2.0,0.0,0.0,0.0
8426cb5ffffffff,2.0,0.0,0.0,0.0
8426cb9ffffffff,42.0,0.0,2.0,0.0
8426cbbffffffff,10.0,0.0,0.0,0.0
8426cbdffffffff,8.0,0.0,0.0,0.0
8426cddffffffff,4.0,0.0,0.0,0.0
8426ce3ffffffff,2.0,0.0,0.0,0.0
8426d09ffffffff,2.0,0.0,0.0,0.0
8426d0bffffffff,1.0,0.0,0.0,0.0
8426d39ffffffff,2.0,0.0,0.0,0.0
8426d4bffffffff,2.0,0.0,0.0,0.0
8426d57ffffffff,1.0,0.0,0.0,0.0
8426d83ffffffff,2.0,0.0,0.0,0.0
8426d89ffffffff,2.0,0.0,0.0,0.0
8426d91ffffffff,1.0,0.0,0.0,0.0
8426d95ffffffff,6.0,0.0,0.0,0.0
8426d97ffffffff,4.0,0.0,0.0,0.0
8426d99ffffffff,5.0,0.0,0.0,0.0
8426d9bffffffff,5.0,0.0,0.0,0.0
8426d9dffffffff,2.0,0.0,0.0,0.0
8426dadffffffff,14.0,0.0,2.0,0.0
8426db1ffffffff,1.0,0.0,0.0,0.0
8426db3ffffffff,6.0,0.0,0.0,0.0
8426db7ffffffff,2.0,0.0,0.0,0.0
8426dbbffffffff,8.0,0.0,0.0,0.0
8426dbdffffffff,2.0,0.0,0.0,0.0
8426dc1ffffffff,12.0,0.0,0.0,0.0
8426dc5ffffffff,2.0,0.0,0.0,0.0
8426dcdffffffff,1.0,0.0,0.0,0.0
8426dd9ffffffff,4.0,0.0,0.0,0.0
8426de1ffffffff,1.0,0.0,0.0,0.0
8426de7ffffffff,10.0,0.0,1.0,0.0
8426de9ffffffff,1.0,0.0,0.0,0.0
8426e19ffffffff,3.0,0.0,0.0,0.0
8426e2dffffffff,8.0,0.0,0.0,0.0
8426e33ffffffff,3.0,0.0,0.0,0.0
8426e9dffffffff,2.0,0.0,0.0,0.0
84274abffffffff,2.0,0.0,0.0,0.0
8427569ffffffff,2.0,0.0,0.0,0.0
842759bffffffff,21.0,0.0,0.0,0.0
84275d3ffffffff,1.0,0.0,0.0,0.0
8427631ffffffff,1.0,0.0,0.0,0.0
8428de9ffffffff,1.0,0.0,0.0,0.0
8428f4bffffffff,11.0,0.0,0.0,0.0
8429a1dffffffff,2.0,0.0,0.0,0.0
8429a6dffffffff,18.0,0.0,0.0,0.0
8429a85ffffffff,9.0,0.0,0.0,0.0
842a065ffffffff,2.0,0.0,0.0,0.0
842a101ffffffff,4.0,0.0,0.0,0.0
842a103ffffffff,37.0,0.0,0.0,0.0
842a107ffffffff,40.0,0.0,0.0,0.0
842a109ffffffff,28.0,0.0,2.0,0.0
842a10bffffffff,13.0,0.0,0.0,0.0
842a123ffffffff,2.0,0.0,0.0,0.0
842a125ffffffff,1.0,0.0,0.0,0.0
842a133ffffffff,4.0,0.0,0.0,0.0
842a135ffffffff,34.0,0.0,1.0,0.0
842a143ffffffff,30.0,0.0,0.0,0.0
842a151ffffffff,1.0,0.0,0.0,0.0
842a159ffffffff,15.0,0.0,0.0,0.0
842a15dffffffff,7.0,0.0,0.0,0.0
842a1a5ffffffff,71.0,0.0,3.0,0.0
842a301ffffffff,40.0,29.0,0.0,0.0
842a307ffffffff,7.0,0.0,0.0,0.0
842a30dffffffff,16.0,0.0,2.0,0.0
842a311ffffffff,23.0,0.0,7.0,0.0
842a315ffffffff,5.0,0.0,0.0,0.0
842a317ffffffff,4.0,0.0,0.0,0.0
842a31dffffffff,2.0,0.0,0.0,0.0
842a333ffffffff,22.0,0.0,5.0,0.0
842a33bffffffff,9.0,0.0,2.0,0.0
842a341ffffffff,2.0,0.0,0.0,0.0
842a347ffffffff,4.0,0.0,0.0,0.0
842a4c9ffffffff,2.0,0.0,0.0,0.0
842a81bffffffff,1.0,0.0,0.0,0.0
842a8bbffffffff,1.0,0.0,0.0,0.0
842a8d5ffffffff,9.0,0.0,0.0,0.0
842a90bffffffff,3.0,0.0,0.0,0.0
842a949ffffffff,2.0,0.0,0.0,0.0
842aa1dffffffff,3.0,0.0,0.0,0.0
842aa39ffffffff,2.0,0.0,0.0,0.0
842aa41ffffffff,2.0,0.0,0.0,0.0
842aa49ffffffff,2.0,0.0,0.0,0.0
842aa4bffffffff,25.0,0.0,0.0,0.0
842aa6bffffffff,2.0,0.0,0.0,0.0
842aa6dffffffff,2.0,0.0,0.0,0.0
842aa89ffffffff,2.0,0.0,0.0,0.0
842aa8bffffffff,1.0,0.0,0.0,0.0
842aa95ffffffff,8.0,0.0,0.0,0.0
842aa99ffffffff,1.0,0.0,0.0,0.0
842aa9bffffffff,11.0,0.0,0.0,0.0
842aaa9ffffffff,1.0,0.0,0.0,0.0
842aac3ffffffff,5.0,0.0,0.0,0.0
842aac5ffffffff,2.0,0.0,0.0,0.0
842aacbffffffff,8.0,0.0,0.0,0.0
842aad1ffffffff,192.0,3.0,2.0,0.0
842aad3ffffffff,16.0,0.0,0.0,0.0
842aae9ffffffff,10.0,0.0,6.0,0.0
842ab05ffffffff,8.0,0.0,0.0,0.0
842ab15ffffffff,2.0,0.0,0.0,0.0
842ab21ffffffff,7.0,0.0,0.0,0.0
842ab2bffffffff,23.0,0.0,0.0,0.0
842ab35ffffffff,10.0,0.0,0.0,0.0
842ab39ffffffff,4.0,0.0,1.0,0.0
842ab3dffffffff,1.0,0.0,0.0,0.0
842ab45ffffffff,2.0,0.0,0.0,0.0
842ab51ffffffff,10.0,0.0,0.0,0.0
842ab55ffffffff,11.0,0.0,0.0,0.0
842ab5dffffffff,2.0,0.0,0.0,0.0
842ab61ffffffff,2.0,0.0,0.0,0.0
842ac6dffffffff,3.0,0.0,0.0,0.0
842ad03ffffffff,2.0,0.0,0.0,0.0
842ad37ffffffff,15.0,0.0,0.0,0.0
842ad57ffffffff,2.0,0.0,0.0,0.0
842ad59ffffffff,2.0,0.0,0.0,0.0
842ad5dffffffff,1.0,0.0,0.0,0.0
842af03ffffffff,2.0,0.0,0.0,0.0
842af15ffffffff,3.0,0.0,0.0,0.0
842af63ffffffff,13.0,0.0,0.0,0.0
842af69ffffffff,5.0,0.0,0.0,0.0
842af6bffffffff,38.0,0.0,0.0,0.0
842b0a5ffffffff,4.0,0.0,0.0,0.0
842b0c5ffffffff,1.0,0.0,0.0,0.0
842b125ffffffff,5.0,0.0,0.0,0.0
842b167ffffffff,5.0,0.0,0.0,0.0
842b16bffffffff,2.0,0.0,0.0,0.0
842b81bffffffff,4.0,0.0,0.0,0.0
842b831ffffffff,3.0,0.0,0.0,0.0
842b833ffffffff,4.0,0.0,0.0,0.0
842b83bffffffff,4.0,0.0,2.0,0.0
842b8c9ffffffff,2.0,0.0,0.0,0.0
842b8cbffffffff,1.0,0.0,0.0,0.0
842b991ffffffff,23.0,0.0,0.0,0.0
842b993ffffffff,4.0,0.0,0.0,0.0
842b997ffffffff,1.0,0.0,0.0,0.0
842b99bffffffff,2.0,0.0,0.0,0.0
842b9b1ffffffff,2.0,0.0,0.0,0.0
842b9b3ffffffff,1.0,0.0,0.0,0.0
842b9b5ffffffff,33.0,0.0,4.0,0.0
842b9b7ffffffff,15.0,0.0,0.0,0.0
842b9b9ffffffff,1.0,0.0,0.0,0.0
842b9bbffffffff,7.0,0.0,0.0,0.0
842b9bdffffffff,2.0,0.0,0.0,0.0
842b9d3ffffffff,3.0,0.0,2.0,0.0
842baa7ffffffff,43.0,0.0,8.0,0.0
8444131ffffffff,38.0,3.0,0.0,0.0
8444133ffffffff,8.0,0.0,0.0,0.0
844413dffffffff,2.0,0.0,0.0,0.0
844415dffffffff,9.0,2.0,0.0,0.0
8444165ffffffff,34.0,0.0,0.0,0.0
84441a9ffffffff,5.0,0.0,0.0,0.0
84441abffffffff,3.0,0.0,0.0,0.0
84441b3ffffffff,1.0,0.0,0.0,0.0
84441b7ffffffff,2.0,0.0,0.0,0.0
84441e1ffffffff,2.0,0.0,0.0,0.0
84441e3ffffffff,10.0,0.0,0.0,0.0
84441e7ffffffff,4.0,2.0,0.0,0.0
8444329ffffffff,2.0,0.0,0.0,0.0
844432dffffffff,3.0,0.0,0.0,0.0
8444409ffffffff,10.0,0.0,0.0,0.0
844440bffffffff,7.0,0.0,0.0,0.0
844440dffffffff,7.0,0.0,0.0,0.0
8444419ffffffff,25.0,0.0,0.0,0.0
8444441ffffffff,1.0,0.0,0.0,0.0
8444443ffffffff,8.0,0.0,0.0,0.0
8444445ffffffff,2.0,0.0,0.0,0.0
