cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
824527fffffffff,586.0,0.0,0.0
824537fffffffff,5.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
824837fffffffff,2301.0,0.0,0.0
824987fffffffff,325.0,0.0,0.0
82498ffffffffff,10.0,0.0,0.0
824997fffffffff,153.0,0.0,0.0
8249a7fffffffff,75.0,0.0,0.0
8249affffffffff,3583.0,0.0,0.0
8249b7fffffffff,1539.0,0.0,0.0
8266b7fffffffff,21.0,0.0,0.0
826797fffffffff,3.0,0.0,0.0
826d07fffffffff,731.0,0.0,0.0
826d17fffffffff,5.0,0.0,0.0
826d2ffffffffff,230.0,0.0,0.0
826d37fffffffff,822.0,0.0,0.0
826d67fffffffff,4330.0,0.0,0.0
826d6ffffffffff,9577.0,0.0,0.0
826d77fffffffff,854.0,0.0,0.0
