cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
82264ffffffffff,3.0,0.0,0.0
823c07fffffffff,20.0,0.0,0.0
823c17fffffffff,1.0,0.0,0.0
823c1ffffffffff,32.0,0.0,0.0
823c37fffffffff,14.0,0.0,0.0
823c8ffffffffff,2.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823caffffffffff,8.0,0.0,0.0
823cb7fffffffff,9.0,0.0,0.0
823cc7fffffffff,4.0,2.0,0.0
823cf7fffffffff,43.0,0.0,1.0
823d17fffffffff,12.0,0.0,0.0
823d37fffffffff,8.0,0.0,0.0
823d87fffffffff,4.0,0.0,0.0
823d8ffffffffff,2.0,0.0,0.0
823d9ffffffffff,13.0,0.0,0.0
823da7fffffffff,25.0,0.0,0.0
823db7fffffffff,4.0,0.0,0.0
82424ffffffffff,1.0,0.0,0.0
8242c7fffffffff,5.0,0.0,0.0
8242cffffffffff,13.0,0.0,0.0
8242d7fffffffff,3.0,0.0,0.0
8242dffffffffff,10.0,0.0,0.0
82438ffffffffff,2.0,0.0,0.0
824417fffffffff,13.0,0.0,0.0
824457fffffffff,1.0,0.0,0.0
824487fffffffff,3.0,0.0,0.0
8244affffffffff,132.0,1.0,0.0
8244d7fffffffff,6.0,0.0,0.0
82450ffffffffff,5.0,0.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,30.0,0.0,0.0
82452ffffffffff,226.0,0.0,0.0
8245a7fffffffff,5.0,0.0,0.0
8245b7fffffffff,7.0,0.0,0.0
8248effffffffff,2.0,0.0,0.0
824997fffffffff,37.0,0.0,0.0
824c8ffffffffff,2.0,0.0,0.0
824cc7fffffffff,82.0,0.0,0.0
824ceffffffffff,22.0,0.0,0.0
824cf7fffffffff,2.0,0.0,0.0
825f4ffffffffff,10.0,0.0,0.0
825f5ffffffffff,51.0,0.0,0.0
826007fffffffff,94.0,0.0,0.0
826017fffffffff,91.0,0.0,1.0
82601ffffffffff,4.0,0.0,0.0
826027fffffffff,52.0,0.0,0.0
826037fffffffff,214.0,0.0,0.0
82608ffffffffff,40.0,0.0,0.0
826097fffffffff,5.0,0.0,0.0
82609ffffffffff,19.0,0.0,0.0
8260a7fffffffff,4.0,0.0,0.0
8260affffffffff,138.0,0.0,0.0
8260b7fffffffff,2.0,0.0,0.0
826107fffffffff,1.0,0.0,0.0
82618ffffffffff,57.0,0.0,0.0
8261affffffffff,7.0,0.0,0.0
826607fffffffff,16.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0
82661ffffffffff,12.0,0.0,0.0
82662ffffffffff,28.0,0.0,0.0
826657fffffffff,18.0,0.0,0.0
8266a7fffffffff,7.0,0.0,0.0
8266b7fffffffff,19.0,0.0,0.0
8266c7fffffffff,9.0,0.0,0.0
8266d7fffffffff,51.0,0.0,6.0
8266e7fffffffff,42.0,0.0,0.0
8266f7fffffffff,9.0,0.0,0.0
826727fffffffff,14.0,0.0,0.0
82674ffffffffff,10.0,0.0,0.0
826757fffffffff,6.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0
826d27fffffffff,13.0,0.0,0.0
826d2ffffffffff,15.0,0.0,0.0
826d37fffffffff,7.0,0.0,0.0
826d67fffffffff,12.0,0.0,0.0
826d6ffffffffff,58.0,0.0,0.0
826d77fffffffff,13.0,0.0,0.0
828f2ffffffffff,98.0,0.0,14.0
