cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
837a40fffffffff,4.0,0.0,2.0
837a4afffffffff,3.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0
837a61fffffffff,1.0,0.0,1.0
837a66fffffffff,2.0,2.0,0.0
837a68fffffffff,32.0,0.0,31.0
837a6afffffffff,14.0,0.0,12.0
837a6efffffffff,7.0,0.0,4.0
837a73fffffffff,1.0,0.0,0.0
837b48fffffffff,2.0,0.0,0.0
837b4cfffffffff,101.0,0.0,0.0
837b4efffffffff,3.0,0.0,0.0
837b5bfffffffff,2.0,2.0,0.0
839690fffffffff,2.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0
839729fffffffff,4.0,0.0,4.0
83974afffffffff,1.0,0.0,1.0
83974bfffffffff,1.0,0.0,1.0
839751fffffffff,2.0,0.0,2.0
83ac80fffffffff,2.0,0.0,2.0
83ac86fffffffff,4.0,0.0,2.0
83ac94fffffffff,3.0,0.0,0.0
83ac96fffffffff,1.0,0.0,1.0
83aca6fffffffff,1.0,0.0,1.0
83acb1fffffffff,1.0,0.0,1.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd2fffffffff,8.0,0.0,0.0
83bcd6fffffffff,2.0,0.0,0.0
83bcd9fffffffff,5.0,0.0,0.0
83bcf6fffffffff,1.0,0.0,0.0
