cell_id,Pipilo maculatus,Pipilo maculatus [oregonus Group],Pipilo maculatus arcticus,Pipilo maculatus [maculatus Group],Pipilo maculatus macronyx,Pipilo maculatus socorroensis
831258fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,244.0,0.0,0.0,0.0,0.0,0.0
83125afffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83125bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,564.0,0.0,0.0,0.0,0.0,0.0
83128dfffffffff,17.0,0.0,0.0,0.0,0.0,0.0
831298fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83129bfffffffff,56.0,2.0,0.0,0.0,0.0,0.0
8312c0fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8312c3fffffffff,64.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,126.0,0.0,0.0,0.0,0.0,0.0
8312c9fffffffff,136.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,117.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,35.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,227.0,0.0,0.0,0.0,0.0,0.0
8312cdfffffffff,54.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,26.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,260.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,2270.0,0.0,0.0,10.0,0.0,0.0
8312d2fffffffff,250.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,1321.0,0.0,0.0,9.0,0.0,0.0
8312d4fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8312d5fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,1163.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,1037.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,361.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,671.0,0.0,0.0,56.0,0.0,0.0
8312dbfffffffff,1347.0,0.0,0.0,40.0,0.0,0.0
8312dcfffffffff,285.0,0.0,0.0,0.0,0.0,0.0
8312ddfffffffff,1210.0,0.0,0.0,0.0,0.0,0.0
8312defffffffff,2674.0,0.0,0.0,19.0,0.0,0.0
8312e8fffffffff,73.0,0.0,0.0,0.0,0.0,0.0
8312eafffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8312ebfffffffff,83.0,0.0,0.0,0.0,0.0,0.0
8312f2fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832600fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832601fffffffff,52.0,0.0,0.0,0.0,0.0,0.0
832602fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
832603fffffffff,154.0,0.0,35.0,0.0,0.0,0.0
832604fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832605fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
832606fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832608fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
83260afffffffff,148.0,0.0,0.0,0.0,0.0,0.0
83260bfffffffff,44.0,0.0,2.0,0.0,0.0,0.0
83260efffffffff,38.0,0.0,4.0,0.0,0.0,0.0
832610fffffffff,274.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,203.0,0.0,1.0,0.0,0.0,0.0
832612fffffffff,263.0,0.0,1.0,0.0,0.0,0.0
832613fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832614fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
832615fffffffff,66.0,0.0,1.0,0.0,0.0,0.0
832616fffffffff,246.0,0.0,0.0,0.0,0.0,0.0
832618fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
832619fffffffff,31.0,0.0,0.0,0.0,0.0,0.0
83261afffffffff,20.0,0.0,0.0,0.0,0.0,0.0
83261bfffffffff,35.0,0.0,0.0,0.0,0.0,0.0
83261cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83261dfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83261efffffffff,29.0,0.0,0.0,0.0,0.0,0.0
832630fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
832632fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
832633fffffffff,122.0,0.0,0.0,0.0,0.0,0.0
832634fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
832635fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832636fffffffff,391.0,0.0,0.0,0.0,0.0,0.0
832650fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
832652fffffffff,58.0,0.0,0.0,0.0,0.0,0.0
832653fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832656fffffffff,85.0,0.0,0.0,0.0,0.0,0.0
832680fffffffff,480.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,12464.0,0.0,0.0,455.0,0.0,0.0
832682fffffffff,188.0,0.0,0.0,0.0,0.0,0.0
832683fffffffff,619.0,0.0,0.0,6.0,0.0,0.0
832684fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
832685fffffffff,1261.0,0.0,0.0,26.0,0.0,0.0
832686fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,6199.0,0.0,0.0,115.0,0.0,0.0
832689fffffffff,408.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,375.0,0.0,0.0,13.0,0.0,0.0
83268bfffffffff,1312.0,0.0,13.0,9.0,0.0,0.0
83268cfffffffff,20635.0,0.0,0.0,1914.0,0.0,0.0
83268dfffffffff,441.0,0.0,0.0,0.0,0.0,0.0
83268efffffffff,374.0,0.0,0.0,24.0,0.0,0.0
832690fffffffff,1115.0,0.0,0.0,70.0,0.0,0.0
832691fffffffff,335.0,0.0,0.0,186.0,0.0,0.0
832692fffffffff,578.0,0.0,0.0,47.0,0.0,0.0
832693fffffffff,34.0,0.0,0.0,2.0,0.0,0.0
832694fffffffff,261.0,0.0,0.0,12.0,0.0,0.0
832695fffffffff,476.0,0.0,0.0,9.0,0.0,0.0
832696fffffffff,8158.0,0.0,0.0,2881.0,0.0,0.0
832698fffffffff,3105.0,0.0,0.0,24.0,0.0,0.0
832699fffffffff,1136.0,0.0,0.0,14.0,0.0,0.0
83269afffffffff,464.0,0.0,0.0,24.0,0.0,0.0
83269bfffffffff,742.0,0.0,0.0,15.0,0.0,0.0
83269cfffffffff,4179.0,0.0,0.0,118.0,0.0,0.0
83269dfffffffff,1229.0,0.0,0.0,65.0,0.0,0.0
