cell_id,Tolmomyias assimilis,Tolmomyias assimilis neglectus,Tolmomyias assimilis examinatus,Tolmomyias assimilis obscuriceps,Tolmomyias assimilis [assimilis Group],Tolmomyias assimilis sucunduri,Tolmomyias assimilis paraensis
82660ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8266dffffffffff,42.0,0.0,0.0,11.0,0.0,0.0,0.0
8266e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
828067fffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
82814ffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
828a47fffffffff,5.0,0.0,0.0,0.0,5.0,0.0,0.0
828a87fffffffff,29.0,0.0,0.0,0.0,0.0,29.0,0.0
828aaffffffffff,19.0,0.0,0.0,0.0,0.0,19.0,0.0
828af7fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
828b27fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
828f47fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
