cell_id,Gerygone palpebrosa,Gerygone palpebrosa [palpebrosa Group],Gerygone palpebrosa flavida
839c23fffffffff,1.0,0.0,1.0
839c8bfffffffff,6.0,0.0,0.0
839caefffffffff,5.0,0.0,0.0
839d21fffffffff,3.0,0.0,0.0
83be8bfffffffff,1.0,0.0,0.0
83be8dfffffffff,44.0,0.0,3.0
