cell_id,Bradypterus lopezi,Bradypterus lopezi [lopezi Group],Bradypterus lopezi barakae,Bradypterus lopezi boultoni,Bradypterus lopezi [mariae Group]
836ac0fffffffff,1.0,0.0,0.0,0.0,0.0
836adcfffffffff,68.0,0.0,0.0,0.0,0.0
836adefffffffff,19.0,0.0,0.0,0.0,0.0
837a45fffffffff,64.0,0.0,0.0,0.0,0.0
837a48fffffffff,3.0,0.0,0.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0,0.0,0.0
837a64fffffffff,44.0,0.0,0.0,0.0,0.0
837a65fffffffff,21.0,0.0,0.0,0.0,5.0
837a6bfffffffff,3.0,0.0,0.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0,0.0,0.0
837a6efffffffff,30.0,0.0,0.0,0.0,0.0
837b48fffffffff,24.0,0.0,0.0,0.0,5.0
837b4bfffffffff,170.0,0.0,0.0,0.0,16.0
8382d0fffffffff,15.0,13.0,0.0,0.0,0.0
8382d1fffffffff,6.0,3.0,0.0,0.0,0.0
8382d3fffffffff,35.0,19.0,0.0,0.0,0.0
838332fffffffff,3.0,0.0,0.0,0.0,0.0
838333fffffffff,11.0,0.0,0.0,0.0,0.0
839600fffffffff,2.0,0.0,0.0,0.0,0.0
839601fffffffff,6.0,0.0,0.0,0.0,0.0
839612fffffffff,1.0,0.0,0.0,0.0,0.0
839615fffffffff,1.0,0.0,0.0,0.0,0.0
839692fffffffff,61.0,0.0,0.0,0.0,6.0
839693fffffffff,3.0,0.0,0.0,0.0,0.0
8396a0fffffffff,17.0,0.0,0.0,0.0,0.0
8396a3fffffffff,4.0,0.0,0.0,0.0,0.0
8396a5fffffffff,9.0,0.0,0.0,0.0,1.0
8396b0fffffffff,34.0,0.0,0.0,0.0,0.0
8396b2fffffffff,22.0,0.0,0.0,0.0,0.0
8396b5fffffffff,21.0,0.0,0.0,0.0,0.0
8396b6fffffffff,19.0,0.0,0.0,0.0,0.0
839789fffffffff,15.0,0.0,0.0,0.0,0.0
83978efffffffff,43.0,0.0,0.0,0.0,0.0
8397a8fffffffff,47.0,0.0,0.0,0.0,6.0
8397aafffffffff,3.0,0.0,0.0,0.0,2.0
8397acfffffffff,4.0,0.0,0.0,0.0,3.0
