cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
834b91fffffffff,3.0,0.0,0.0
834b93fffffffff,1.0,0.0,0.0
836841fffffffff,1.0,0.0,0.0
836843fffffffff,11.0,0.0,0.0
836846fffffffff,2.0,0.0,0.0
83684efffffffff,1.0,0.0,0.0
836858fffffffff,1.0,1.0,0.0
83685cfffffffff,18.0,0.0,0.0
83685dfffffffff,6.0,0.0,0.0
83685efffffffff,12.0,2.0,0.0
836862fffffffff,1.0,0.0,0.0
836875fffffffff,5.0,0.0,0.0
8368f6fffffffff,3.0,0.0,0.0
836941fffffffff,1.0,0.0,0.0
836945fffffffff,1.0,0.0,0.0
83694efffffffff,1.0,0.0,0.0
836968fffffffff,1.0,0.0,0.0
83696afffffffff,3.0,0.0,0.0
83696dfffffffff,1.0,0.0,0.0
8372a2fffffffff,40.0,0.0,0.0
8372d2fffffffff,3.0,0.0,0.0
8372d3fffffffff,2.0,0.0,0.0
8372dafffffffff,3.0,0.0,0.0
8372dbfffffffff,7.0,0.0,0.0
837390fffffffff,8.0,0.0,0.0
837395fffffffff,1.0,0.0,0.0
83739afffffffff,19.0,0.0,0.0
8373b0fffffffff,4.0,0.0,0.0
83768afffffffff,1.0,0.0,0.0
83769dfffffffff,6.0,0.0,0.0
839423fffffffff,46.0,4.0,0.0
839426fffffffff,3.0,0.0,0.0
83942cfffffffff,2.0,0.0,0.0
83942dfffffffff,1.0,0.0,0.0
83942efffffffff,4.0,0.0,0.0
839518fffffffff,1.0,0.0,0.0
83951afffffffff,3.0,0.0,0.0
83951efffffffff,6.0,0.0,0.0
839544fffffffff,1.0,0.0,0.0
839553fffffffff,6.0,0.0,0.0
839558fffffffff,6.0,0.0,0.0
839561fffffffff,3.0,0.0,0.0
83956afffffffff,19.0,0.0,0.0
83956bfffffffff,13.0,0.0,0.0
8395a5fffffffff,2.0,0.0,0.0
8395a9fffffffff,5.0,3.0,0.0
839a02fffffffff,31.0,0.0,0.0
839a15fffffffff,43.0,0.0,0.0
839b41fffffffff,13.0,0.0,0.0
839b43fffffffff,6.0,0.0,0.0
839b44fffffffff,1.0,0.0,0.0
839b4cfffffffff,18.0,0.0,0.0
839b4dfffffffff,2.0,0.0,0.0
839b4efffffffff,3.0,0.0,0.0
839b5cfffffffff,3.0,0.0,0.0
839b5dfffffffff,3.0,0.0,0.0
839b6afffffffff,20.0,0.0,0.0
839b6bfffffffff,19.0,0.0,0.0
839b6efffffffff,2.0,0.0,0.0
839b73fffffffff,1.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0
839cd2fffffffff,6.0,0.0,0.0
839cd3fffffffff,8.0,0.0,0.0
839e02fffffffff,19.0,0.0,0.0
839e06fffffffff,9.0,0.0,0.0
839e10fffffffff,1.0,0.0,0.0
839e11fffffffff,7.0,0.0,0.0
839e22fffffffff,12.0,0.0,0.0
839e24fffffffff,29.0,0.0,0.0
839e26fffffffff,5.0,0.0,0.0
839e31fffffffff,1.0,0.0,0.0
839ed5fffffffff,21.0,0.0,0.0
839f50fffffffff,6.0,0.0,0.0
839f51fffffffff,71.0,0.0,0.0
839f52fffffffff,34.0,0.0,0.0
839f54fffffffff,6.0,0.0,0.0
839f55fffffffff,25.0,0.0,0.0
