cell_id,Campylorhynchus turdinus,Campylorhynchus turdinus turdinus/hypostictus,Campylorhynchus turdinus unicolor
826647fffffffff,144.0,0.0,0.0
826657fffffffff,16.0,0.0,0.0
82665ffffffffff,12.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266c7fffffffff,1431.0,0.0,0.0
8266cffffffffff,155.0,0.0,0.0
8266d7fffffffff,90.0,0.0,0.0
8266dffffffffff,2307.0,16.0,0.0
8266e7fffffffff,390.0,0.0,0.0
8266effffffffff,494.0,0.0,0.0
82802ffffffffff,3.0,0.0,0.0
828047fffffffff,2.0,0.0,0.0
828067fffffffff,29.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828137fffffffff,235.0,0.0,0.0
82814ffffffffff,331.0,1.0,0.0
82815ffffffffff,37.0,0.0,0.0
828a07fffffffff,57.0,5.0,0.0
828a17fffffffff,4.0,0.0,0.0
828a1ffffffffff,3.0,0.0,0.0
828a27fffffffff,14.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,400.0,1.0,0.0
828a57fffffffff,5.0,0.0,0.0
828a6ffffffffff,871.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,14.0,1.0,0.0
828a97fffffffff,8.0,0.0,0.0
828a9ffffffffff,20.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0
828af7fffffffff,63.0,3.0,0.0
828b07fffffffff,44.0,0.0,0.0
828b0ffffffffff,122.0,0.0,0.0
828b17fffffffff,18.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,1130.0,0.0,0.0
828b2ffffffffff,186.0,0.0,0.0
828b37fffffffff,86.0,0.0,0.0
828b47fffffffff,1586.0,7.0,0.0
828b4ffffffffff,14.0,1.0,0.0
828b57fffffffff,36.0,0.0,0.0
828b5ffffffffff,54.0,8.0,0.0
828b67fffffffff,438.0,6.0,0.0
828b6ffffffffff,146.0,0.0,0.0
828b77fffffffff,177.0,0.0,0.0
828b87fffffffff,33.0,0.0,0.0
828b8ffffffffff,20.0,0.0,0.0
828b9ffffffffff,211.0,0.0,0.0
828ba7fffffffff,219.0,0.0,0.0
828bb7fffffffff,530.0,0.0,0.0
828e67fffffffff,60.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0
828f47fffffffff,665.0,0.0,0.0
828f4ffffffffff,150.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f5ffffffffff,28.0,0.0,0.0
828f67fffffffff,153.0,0.0,0.0
828f6ffffffffff,120.0,0.0,0.0
828f77fffffffff,625.0,0.0,0.0
82a597fffffffff,2.0,0.0,0.0
82a82ffffffffff,115.0,0.0,0.0
82a847fffffffff,988.0,0.0,0.0
82a84ffffffffff,30.0,0.0,0.0
82a857fffffffff,146.0,0.0,0.0
82a85ffffffffff,3207.0,0.0,0.0
82a867fffffffff,157.0,0.0,0.0
82a86ffffffffff,58.0,0.0,0.0
82a877fffffffff,168.0,0.0,0.0
82a897fffffffff,164.0,0.0,0.0
82a8cffffffffff,3.0,0.0,0.0
82a947fffffffff,841.0,0.0,0.0
82a94ffffffffff,1469.0,0.0,0.0
82a957fffffffff,1631.0,0.0,0.0
82a95ffffffffff,525.0,0.0,0.0
82a967fffffffff,13.0,0.0,0.0
82a96ffffffffff,217.0,0.0,0.0
82b367fffffffff,3.0,0.0,0.0
