cell_id,Pachycephala homeyeri,Pachycephala homeyeri homeyeri,Pachycephala homeyeri major,Pachycephala homeyeri winchelli
8468449ffffffff,35.0,0.0,9.0,0.0
8468469ffffffff,11.0,0.0,4.0,0.0
846846dffffffff,96.0,0.0,0.0,22.0
8468621ffffffff,40.0,0.0,0.0,12.0
8468625ffffffff,8.0,0.0,0.0,0.0
8468627ffffffff,1.0,0.0,0.0,0.0
8468629ffffffff,2.0,0.0,0.0,0.0
8468635ffffffff,1.0,0.0,1.0,0.0
8468645ffffffff,2.0,0.0,0.0,0.0
8468665ffffffff,2.0,0.0,0.0,0.0
846866dffffffff,11.0,0.0,0.0,1.0
8468711ffffffff,1.0,0.0,0.0,0.0
846871bffffffff,21.0,0.0,0.0,2.0
8468751ffffffff,21.0,0.0,0.0,13.0
8468753ffffffff,1.0,0.0,0.0,0.0
8468e45ffffffff,1.0,0.0,0.0,0.0
8469593ffffffff,14.0,0.0,0.0,8.0
