cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
833c91fffffffff,5.0,0.0,0.0,0.0
833c92fffffffff,6.0,0.0,0.0,0.0
833c96fffffffff,1.0,0.0,0.0,0.0
833ca4fffffffff,3.0,0.0,0.0,0.0
833ca6fffffffff,2.0,0.0,0.0,0.0
833cb4fffffffff,23.0,0.0,0.0,0.0
833cb5fffffffff,7.0,0.0,0.0,0.0
833cb6fffffffff,9.0,0.0,0.0,0.0
833d90fffffffff,2.0,0.0,0.0,0.0
833d91fffffffff,2.0,0.0,0.0,0.0
833d92fffffffff,58.0,0.0,4.0,0.0
833d93fffffffff,14.0,0.0,0.0,0.0
833d98fffffffff,10.0,0.0,1.0,0.0
833d99fffffffff,3.0,0.0,0.0,0.0
833d9afffffffff,8.0,0.0,0.0,0.0
833d9bfffffffff,53.0,0.0,9.0,0.0
833d9dfffffffff,33.0,0.0,0.0,0.0
833d9efffffffff,37.0,0.0,0.0,0.0
8342c2fffffffff,94.0,0.0,0.0,0.0
8342d1fffffffff,1.0,0.0,0.0,0.0
8342d9fffffffff,53.0,0.0,0.0,0.0
8342dbfffffffff,18.0,0.0,0.0,0.0
8342dcfffffffff,5.0,0.0,0.0,0.0
8342ebfffffffff,11.0,0.0,0.0,0.0
836002fffffffff,87.0,0.0,2.0,0.0
836006fffffffff,654.0,0.0,14.0,0.0
836010fffffffff,4.0,0.0,0.0,0.0
836011fffffffff,221.0,0.0,1.0,0.0
836013fffffffff,11.0,0.0,0.0,0.0
836015fffffffff,230.0,0.0,0.0,0.0
836016fffffffff,311.0,0.0,0.0,0.0
83601efffffffff,192.0,0.0,0.0,0.0
836022fffffffff,18.0,0.0,0.0,0.0
836026fffffffff,105.0,3.0,0.0,0.0
836030fffffffff,361.0,40.0,0.0,0.0
836031fffffffff,2337.0,0.0,25.0,0.0
836033fffffffff,1632.0,0.0,0.0,0.0
836035fffffffff,312.0,5.0,0.0,0.0
836081fffffffff,2.0,0.0,0.0,0.0
836088fffffffff,712.0,0.0,0.0,0.0
836089fffffffff,10.0,0.0,0.0,0.0
83608afffffffff,30.0,0.0,0.0,0.0
83608bfffffffff,287.0,0.0,0.0,0.0
83608cfffffffff,16.0,0.0,0.0,0.0
83608dfffffffff,199.0,0.0,0.0,0.0
83608efffffffff,12.0,0.0,0.0,0.0
836090fffffffff,7.0,0.0,0.0,0.0
836091fffffffff,2.0,0.0,0.0,0.0
836092fffffffff,156.0,0.0,0.0,0.0
836093fffffffff,21.0,0.0,0.0,0.0
836094fffffffff,2.0,0.0,0.0,0.0
836096fffffffff,10.0,0.0,0.0,0.0
836099fffffffff,65.0,0.0,0.0,0.0
83609afffffffff,2.0,0.0,0.0,0.0
83609bfffffffff,8.0,0.0,0.0,0.0
83609efffffffff,22.0,0.0,0.0,0.0
8360a2fffffffff,1.0,0.0,0.0,0.0
8360a6fffffffff,192.0,0.0,0.0,0.0
8360a8fffffffff,36.0,0.0,0.0,0.0
8360a9fffffffff,460.0,0.0,0.0,0.0
8360aafffffffff,2.0,0.0,0.0,0.0
8360abfffffffff,31.0,0.0,0.0,0.0
8360adfffffffff,185.0,0.0,0.0,0.0
8360b1fffffffff,9.0,0.0,0.0,0.0
8360b3fffffffff,3.0,0.0,0.0,0.0
8360f6fffffffff,9.0,0.0,0.0,0.0
836102fffffffff,262.0,0.0,0.0,45.0
836111fffffffff,11.0,0.0,0.0,1.0
83619afffffffff,10.0,0.0,0.0,0.0
