cell_id,Zentrygon linearis,Zentrygon linearis linearis,Zentrygon linearis trinitatis
835f48fffffffff,2.0,0.0,1.0
835f4afffffffff,2.0,0.0,0.0
835f4bfffffffff,7.0,0.0,0.0
836601fffffffff,42.0,1.0,0.0
836608fffffffff,540.0,12.0,0.0
836609fffffffff,2.0,0.0,0.0
83660bfffffffff,13.0,0.0,0.0
83660cfffffffff,14.0,0.0,0.0
83660dfffffffff,20.0,0.0,0.0
836618fffffffff,13.0,0.0,0.0
836619fffffffff,84.0,0.0,0.0
83661bfffffffff,15.0,0.0,0.0
83661dfffffffff,138.0,0.0,0.0
836620fffffffff,2309.0,86.0,0.0
836621fffffffff,241.0,0.0,0.0
836622fffffffff,27.0,0.0,0.0
836623fffffffff,56.0,11.0,0.0
836629fffffffff,57.0,0.0,0.0
83662bfffffffff,11.0,0.0,0.0
83662dfffffffff,10.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0
8366c0fffffffff,51.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366c4fffffffff,9.0,0.0,0.0
8366c6fffffffff,58.0,0.0,0.0
8366e0fffffffff,384.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0
8366e3fffffffff,9.0,0.0,0.0
8366e4fffffffff,54.0,4.0,0.0
8366e5fffffffff,111.0,0.0,0.0
8366e6fffffffff,83.0,0.0,0.0
836741fffffffff,75.0,0.0,0.0
836743fffffffff,55.0,2.0,0.0
83674cfffffffff,6.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,239.0,0.0,0.0
83675afffffffff,128.0,0.0,0.0
83675cfffffffff,34.0,0.0,0.0
83675efffffffff,36.0,0.0,0.0
