cell_id,Bycanistes fistulator,Bycanistes fistulator fistulator,Bycanistes fistulator sharpii/duboisi
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,2.0,0.0,0.0
8254f7fffffffff,29.0,0.0,0.0
825887fffffffff,2.0,0.0,0.0
825897fffffffff,34.0,0.0,0.0
82589ffffffffff,10.0,0.0,0.0
8258d7fffffffff,26.0,0.0,0.0
8258dffffffffff,14.0,0.0,6.0
826a97fffffffff,2.0,0.0,0.0
826a9ffffffffff,27.0,0.0,0.0
826ac7fffffffff,253.0,0.0,68.0
826aeffffffffff,18.0,0.0,1.0
827437fffffffff,1.0,0.0,0.0
82750ffffffffff,560.0,58.0,0.0
82751ffffffffff,22.0,0.0,0.0
82752ffffffffff,17.0,0.0,0.0
827537fffffffff,3.0,0.0,0.0
827577fffffffff,17.0,0.0,0.0
827587fffffffff,3.0,0.0,0.0
8275a7fffffffff,1.0,0.0,0.0
8275affffffffff,8.0,0.0,0.0
8275b7fffffffff,6.0,1.0,0.0
828217fffffffff,1.0,0.0,0.0
82821ffffffffff,22.0,0.0,3.0
828237fffffffff,2.0,0.0,0.0
828287fffffffff,19.0,0.0,2.0
82828ffffffffff,172.0,0.0,0.0
828297fffffffff,8.0,0.0,0.0
8282a7fffffffff,31.0,0.0,3.0
8282affffffffff,48.0,0.0,12.0
8282d7fffffffff,28.0,0.0,5.0
8282dffffffffff,6.0,0.0,0.0
8282f7fffffffff,32.0,0.0,0.0
828317fffffffff,17.0,0.0,2.0
82831ffffffffff,1.0,0.0,0.0
82838ffffffffff,3.0,0.0,0.0
8283affffffffff,24.0,0.0,6.0
8296dffffffffff,1.0,0.0,0.0
