cell_id,Aegithalos caudatus,Aegithalos caudatus caudatus,Aegithalos caudatus [europaeus Group],Aegithalos caudatus [alpinus Group]
830806fffffffff,1.0,0.0,0.0,0.0
830814fffffffff,4.0,0.0,0.0,0.0
830816fffffffff,2.0,0.0,0.0,0.0
830832fffffffff,3.0,0.0,0.0,0.0
830833fffffffff,1.0,0.0,0.0,0.0
830880fffffffff,9.0,0.0,0.0,0.0
830882fffffffff,16.0,0.0,0.0,0.0
830883fffffffff,6.0,0.0,0.0,0.0
830884fffffffff,11.0,0.0,0.0,0.0
830885fffffffff,5.0,0.0,0.0,0.0
830886fffffffff,121.0,0.0,0.0,0.0
830888fffffffff,9.0,0.0,0.0,0.0
83088afffffffff,1.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0
830890fffffffff,4.0,0.0,0.0,0.0
830893fffffffff,4.0,0.0,0.0,0.0
830895fffffffff,34.0,0.0,0.0,0.0
830898fffffffff,19.0,0.0,0.0,0.0
830899fffffffff,26.0,5.0,0.0,0.0
83089afffffffff,70.0,0.0,0.0,0.0
83089bfffffffff,10.0,0.0,0.0,0.0
83089dfffffffff,16.0,0.0,0.0,0.0
83089efffffffff,9.0,2.0,0.0,0.0
8308a2fffffffff,12.0,0.0,0.0,0.0
8308a4fffffffff,1.0,0.0,0.0,0.0
8308b0fffffffff,7.0,0.0,0.0,0.0
8308b1fffffffff,44.0,0.0,0.0,0.0
8308b3fffffffff,28.0,0.0,0.0,0.0
8308b4fffffffff,2.0,0.0,0.0,0.0
8308b5fffffffff,2.0,0.0,0.0,0.0
8308b6fffffffff,7.0,0.0,0.0,0.0
8308c9fffffffff,2.0,0.0,0.0,0.0
8308d1fffffffff,13.0,2.0,0.0,0.0
8308d4fffffffff,1.0,0.0,0.0,0.0
8308d8fffffffff,2.0,0.0,0.0,0.0
8308f2fffffffff,2.0,0.0,0.0,0.0
830980fffffffff,2.0,0.0,0.0,0.0
83098cfffffffff,5.0,0.0,0.0,0.0
83098dfffffffff,1.0,0.0,0.0,0.0
830991fffffffff,12.0,4.0,0.0,0.0
830998fffffffff,2.0,0.0,0.0,0.0
830999fffffffff,29.0,12.0,0.0,0.0
83099bfffffffff,7.0,7.0,0.0,0.0
83099efffffffff,1.0,0.0,0.0,0.0
830bb0fffffffff,15.0,1.0,0.0,0.0
831012fffffffff,2.0,0.0,0.0,0.0
831016fffffffff,7.0,0.0,0.0,0.0
831023fffffffff,2.0,0.0,0.0,0.0
831026fffffffff,1.0,0.0,0.0,0.0
831081fffffffff,1.0,0.0,0.0,0.0
831089fffffffff,1.0,0.0,0.0,0.0
8310c2fffffffff,54.0,0.0,0.0,0.0
8310c3fffffffff,2.0,2.0,0.0,0.0
8310d2fffffffff,2.0,0.0,0.0,0.0
8310d6fffffffff,1.0,0.0,0.0,0.0
8310dcfffffffff,22.0,1.0,0.0,0.0
8310eefffffffff,8.0,0.0,2.0,0.0
8310f1fffffffff,2.0,0.0,0.0,0.0
831100fffffffff,2.0,0.0,0.0,0.0
831103fffffffff,15.0,0.0,0.0,0.0
831104fffffffff,12.0,0.0,0.0,0.0
831106fffffffff,57.0,3.0,0.0,0.0
831115fffffffff,1.0,0.0,0.0,0.0
831116fffffffff,17.0,0.0,0.0,0.0
831120fffffffff,1.0,0.0,0.0,0.0
831123fffffffff,9.0,0.0,0.0,0.0
831125fffffffff,3.0,0.0,0.0,0.0
831126fffffffff,17.0,3.0,0.0,0.0
83112efffffffff,1.0,0.0,0.0,0.0
831130fffffffff,2.0,0.0,0.0,0.0
831134fffffffff,17.0,0.0,0.0,0.0
831135fffffffff,5.0,0.0,0.0,0.0
831136fffffffff,8.0,0.0,0.0,0.0
831154fffffffff,2.0,0.0,0.0,0.0
831180fffffffff,4.0,0.0,0.0,0.0
831181fffffffff,84.0,0.0,0.0,0.0
831185fffffffff,17.0,0.0,0.0,0.0
83118afffffffff,21.0,0.0,0.0,0.0
83118bfffffffff,2.0,0.0,0.0,0.0
83118cfffffffff,72.0,5.0,0.0,0.0
83118efffffffff,17.0,0.0,0.0,0.0
831191fffffffff,2.0,0.0,0.0,0.0
831196fffffffff,3.0,0.0,0.0,0.0
83119cfffffffff,1.0,0.0,0.0,0.0
8311a4fffffffff,2.0,0.0,0.0,0.0
8311a6fffffffff,2.0,0.0,0.0,0.0
8311a8fffffffff,2.0,0.0,0.0,0.0
8311aafffffffff,370.0,0.0,0.0,0.0
8311abfffffffff,20.0,7.0,0.0,0.0
8311aefffffffff,193.0,48.0,0.0,0.0
8311b4fffffffff,2.0,0.0,0.0,0.0
8311b6fffffffff,2.0,0.0,0.0,0.0
83148cfffffffff,21.0,5.0,0.0,0.0
831496fffffffff,1.0,0.0,0.0,0.0
83149afffffffff,20.0,12.0,0.0,0.0
83149efffffffff,9.0,3.0,0.0,0.0
8314aefffffffff,60.0,51.0,0.0,0.0
831588fffffffff,2.0,0.0,0.0,0.0
83158afffffffff,2.0,0.0,0.0,0.0
83158efffffffff,2.0,2.0,0.0,0.0
831592fffffffff,4.0,0.0,0.0,0.0
831598fffffffff,57.0,18.0,0.0,0.0
8315b3fffffffff,2.0,0.0,0.0,0.0
831801fffffffff,20.0,0.0,1.0,0.0
831805fffffffff,5.0,0.0,0.0,0.0
83180cfffffffff,6.0,0.0,0.0,0.0
831821fffffffff,11.0,0.0,2.0,0.0
831823fffffffff,29.0,0.0,5.0,0.0
831825fffffffff,18.0,0.0,4.0,0.0
831828fffffffff,62.0,0.0,0.0,0.0
83182afffffffff,60.0,0.0,1.0,0.0
83182cfffffffff,852.0,0.0,7.0,0.0
83182dfffffffff,5.0,0.0,0.0,0.0
83182efffffffff,112.0,0.0,44.0,0.0
831840fffffffff,1.0,0.0,0.0,0.0
831844fffffffff,79.0,0.0,6.0,0.0
831845fffffffff,80.0,0.0,4.0,0.0
831846fffffffff,18.0,0.0,0.0,0.0
831849fffffffff,2539.0,0.0,2.0,0.0
83184afffffffff,122.0,0.0,0.0,0.0
83184bfffffffff,1397.0,0.0,5.0,0.0
83184cfffffffff,24.0,0.0,8.0,0.0
83184dfffffffff,103.0,0.0,4.0,0.0
831859fffffffff,83.0,0.0,0.0,0.0
83185bfffffffff,229.0,0.0,0.0,0.0
831860fffffffff,19.0,0.0,4.0,0.0
831861fffffffff,9.0,0.0,0.0,0.0
831862fffffffff,78.0,0.0,21.0,0.0
831863fffffffff,54.0,0.0,8.0,0.0
831864fffffffff,1.0,0.0,0.0,0.0
831865fffffffff,10.0,0.0,0.0,0.0
831866fffffffff,5.0,0.0,3.0,0.0
831868fffffffff,22.0,0.0,2.0,0.0
831869fffffffff,17.0,0.0,2.0,0.0
83186afffffffff,74.0,0.0,4.0,0.0
83186bfffffffff,15.0,0.0,0.0,0.0
83186cfffffffff,160.0,0.0,1.0,0.0
83186dfffffffff,48.0,0.0,14.0,0.0
83186efffffffff,42.0,0.0,3.0,0.0
831870fffffffff,117.0,0.0,11.0,0.0
831871fffffffff,15.0,0.0,2.0,0.0
831873fffffffff,48.0,0.0,14.0,0.0
831874fffffffff,63.0,0.0,9.0,0.0
831875fffffffff,22.0,0.0,0.0,0.0
831876fffffffff,42.0,0.0,2.0,0.0
831908fffffffff,55.0,0.0,1.0,0.0
831909fffffffff,115.0,0.0,2.0,0.0
83190bfffffffff,20.0,0.0,0.0,0.0
83190cfffffffff,38.0,0.0,0.0,0.0
83190dfffffffff,249.0,0.0,23.0,0.0
83190efffffffff,1.0,0.0,0.0,0.0
831929fffffffff,2.0,0.0,0.0,0.0
83192afffffffff,2.0,0.0,2.0,0.0
83192bfffffffff,90.0,0.0,45.0,0.0
831940fffffffff,578.0,0.0,43.0,0.0
831941fffffffff,2774.0,0.0,599.0,0.0
831942fffffffff,2875.0,0.0,1005.0,0.0
831943fffffffff,1878.0,0.0,211.0,0.0
831946fffffffff,229.0,0.0,54.0,0.0
831948fffffffff,912.0,0.0,142.0,0.0
831949fffffffff,30.0,0.0,8.0,0.0
83194afffffffff,2525.0,0.0,194.0,0.0
83194bfffffffff,78.0,0.0,6.0,0.0
83194cfffffffff,872.0,0.0,215.0,0.0
83194dfffffffff,441.0,0.0,46.0,0.0
83194efffffffff,2505.0,0.0,199.0,0.0
831950fffffffff,195.0,0.0,6.0,0.0
831951fffffffff,754.0,0.0,120.0,0.0
831952fffffffff,67.0,0.0,15.0,0.0
831953fffffffff,108.0,0.0,24.0,0.0
831954fffffffff,55.0,0.0,17.0,0.0
831955fffffffff,391.0,0.0,130.0,0.0
831956fffffffff,21.0,0.0,7.0,0.0
831958fffffffff,645.0,0.0,30.0,0.0
831959fffffffff,1688.0,0.0,98.0,0.0
83195afffffffff,110.0,0.0,14.0,0.0
83195bfffffffff,438.0,0.0,34.0,0.0
83195cfffffffff,1642.0,0.0,164.0,0.0
83195dfffffffff,2884.0,0.0,349.0,0.0
83195efffffffff,118.0,0.0,8.0,0.0
831968fffffffff,111.0,1.0,6.0,0.0
831969fffffffff,735.0,2.0,28.0,0.0
83196bfffffffff,125.0,0.0,6.0,0.0
83196cfffffffff,1.0,0.0,0.0,0.0
83196dfffffffff,228.0,2.0,11.0,0.0
831972fffffffff,612.0,0.0,27.0,0.0
831973fffffffff,317.0,0.0,7.0,0.0
831976fffffffff,55.0,0.0,3.0,0.0
831e00fffffffff,26.0,0.0,0.0,0.0
831e01fffffffff,31.0,0.0,0.0,0.0
831e02fffffffff,300.0,5.0,9.0,0.0
831e03fffffffff,341.0,18.0,4.0,0.0
831e04fffffffff,308.0,1.0,2.0,0.0
831e05fffffffff,195.0,8.0,7.0,0.0
831e06fffffffff,803.0,2.0,6.0,0.0
831e08fffffffff,113.0,0.0,0.0,0.0
831e0afffffffff,361.0,0.0,0.0,0.0
831e0bfffffffff,15.0,0.0,0.0,0.0
831e0cfffffffff,113.0,0.0,0.0,0.0
