cell_id,Alaudala somalica,Alaudala somalica [somalica Group],Alaudala somalica athensis
84529b5ffffffff,2.0,2.0,0.0
8452d33ffffffff,2.0,1.0,0.0
8452d93ffffffff,2.0,0.0,0.0
847a619ffffffff,1.0,0.0,0.0
847a61dffffffff,5.0,0.0,2.0
847a633ffffffff,1.0,0.0,0.0
847a63bffffffff,3.0,0.0,2.0
847a681ffffffff,28.0,0.0,12.0
847a683ffffffff,15.0,0.0,4.0
847a68bffffffff,3.0,0.0,2.0
847a6d1ffffffff,3.0,0.0,0.0
847a6d3ffffffff,3.0,0.0,3.0
847a6d9ffffffff,5.0,0.0,3.0
847a6e5ffffffff,25.0,0.0,5.0
847a6edffffffff,9.0,0.0,7.0
847ac8bffffffff,1.0,0.0,0.0
847ae85ffffffff,85.0,13.0,0.0
847ae87ffffffff,6.0,0.0,0.0
847ae9bffffffff,1.0,1.0,0.0
847aed3ffffffff,23.0,5.0,0.0
8496921ffffffff,3.0,0.0,2.0
8496923ffffffff,1.0,0.0,0.0
8496925ffffffff,90.0,0.0,56.0
8496933ffffffff,8.0,0.0,2.0
8496935ffffffff,5.0,0.0,3.0
8496937ffffffff,3.0,0.0,2.0
849693dffffffff,1.0,0.0,1.0
84969a5ffffffff,2.0,0.0,2.0
84969adffffffff,1.0,0.0,0.0
