cell_id,Dendrocygna autumnalis,Dendrocygna autumnalis fulgens,Dendrocygna autumnalis autumnalis
82184ffffffffff,5.0,0.0,0.0
821ea7fffffffff,2.0,0.0,0.0
822607fffffffff,20.0,2.0,0.0
82260ffffffffff,43.0,2.0,0.0
82261ffffffffff,23.0,1.0,0.0
822627fffffffff,12.0,0.0,0.0
82262ffffffffff,25.0,0.0,0.0
822637fffffffff,24.0,1.0,0.0
822647fffffffff,354.0,13.0,0.0
82264ffffffffff,136.0,0.0,0.0
822657fffffffff,83.0,6.0,0.0
82265ffffffffff,64.0,0.0,0.0
822667fffffffff,120.0,6.0,0.0
82266ffffffffff,141.0,0.0,0.0
822677fffffffff,39.0,0.0,0.0
822687fffffffff,11.0,0.0,0.0
8226c7fffffffff,46.0,0.0,0.0
8226cffffffffff,269.0,0.0,0.0
8226d7fffffffff,37.0,2.0,0.0
8226dffffffffff,42.0,0.0,0.0
8226e7fffffffff,115.0,0.0,0.0
8226effffffffff,57.0,0.0,0.0
8226f7fffffffff,78.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0
82274ffffffffff,125.0,3.0,0.0
822757fffffffff,7.0,1.0,0.0
82275ffffffffff,151.0,6.0,0.0
82276ffffffffff,6.0,0.0,0.0
82278ffffffffff,2.0,0.0,0.0
822837fffffffff,9.0,0.0,0.0
8229a7fffffffff,11.0,0.0,0.0
8229affffffffff,4.0,0.0,0.0
8229b7fffffffff,5.0,0.0,0.0
822a07fffffffff,9.0,0.0,0.0
822a17fffffffff,659.0,11.0,0.0
822a37fffffffff,111.0,1.0,0.0
822a4ffffffffff,29.0,0.0,0.0
822a87fffffffff,27.0,0.0,0.0
822a8ffffffffff,80.0,5.0,0.0
822a97fffffffff,136.0,0.0,0.0
822a9ffffffffff,9.0,0.0,0.0
822aa7fffffffff,150.0,48.0,0.0
822aaffffffffff,867.0,13.0,0.0
822ab7fffffffff,523.0,6.0,0.0
822ad7fffffffff,23.0,2.0,0.0
822af7fffffffff,68.0,5.0,0.0
822b07fffffffff,2.0,0.0,0.0
822b0ffffffffff,22.0,0.0,0.0
822b17fffffffff,25.0,0.0,0.0
822b1ffffffffff,60.0,0.0,0.0
822b8ffffffffff,53.0,0.0,0.0
822b9ffffffffff,386.0,0.0,0.0
822ba7fffffffff,5.0,0.0,0.0
822baffffffffff,224.0,0.0,0.0
8243affffffffff,75.0,0.0,0.0
824417fffffffff,18.0,3.0,0.0
82441ffffffffff,146.0,18.0,0.0
824437fffffffff,6.0,0.0,0.0
824447fffffffff,499.0,0.0,0.0
82444ffffffffff,120.0,2.0,0.0
824457fffffffff,507.0,8.0,0.0
82445ffffffffff,47.0,0.0,0.0
824467fffffffff,3.0,0.0,0.0
82446ffffffffff,165.0,10.0,0.0
824477fffffffff,15.0,0.0,0.0
824487fffffffff,28.0,0.0,0.0
8244a7fffffffff,4.0,0.0,0.0
8244affffffffff,159.0,17.0,0.0
8244b7fffffffff,82.0,0.0,0.0
8244c7fffffffff,414.0,5.0,0.0
8244cffffffffff,31.0,0.0,0.0
8244d7fffffffff,258.0,2.0,0.0
8244dffffffffff,125.0,10.0,0.0
8244e7fffffffff,335.0,12.0,0.0
8244effffffffff,35.0,0.0,0.0
8244f7fffffffff,193.0,11.0,0.0
824507fffffffff,3.0,0.0,0.0
82450ffffffffff,5.0,5.0,0.0
824527fffffffff,30.0,0.0,0.0
82452ffffffffff,178.0,1.0,0.0
824537fffffffff,3.0,0.0,0.0
82458ffffffffff,1.0,0.0,0.0
8245a7fffffffff,4.0,0.0,0.0
8245b7fffffffff,2.0,0.0,0.0
82481ffffffffff,6.0,0.0,0.0
82482ffffffffff,362.0,0.0,0.0
824837fffffffff,14.0,0.0,0.0
82485ffffffffff,4.0,0.0,0.0
824887fffffffff,19.0,2.0,0.0
82488ffffffffff,25.0,2.0,0.0
824897fffffffff,105.0,10.0,0.0
82489ffffffffff,174.0,6.0,0.0
8248a7fffffffff,1.0,0.0,0.0
8248affffffffff,4.0,0.0,0.0
8248b7fffffffff,169.0,12.0,0.0
8248c7fffffffff,19.0,5.0,0.0
8248d7fffffffff,32.0,0.0,0.0
8248effffffffff,482.0,2.0,0.0
8248f7fffffffff,2.0,0.0,0.0
824987fffffffff,7.0,0.0,0.0
824997fffffffff,80.0,10.0,0.0
82499ffffffffff,1.0,0.0,0.0
8249b7fffffffff,3.0,0.0,0.0
824c9ffffffffff,3.0,0.0,0.0
824cb7fffffffff,4.0,0.0,0.0
824cc7fffffffff,32.0,0.0,0.0
825e47fffffffff,1.0,0.0,0.0
825e5ffffffffff,15.0,0.0,0.0
825e67fffffffff,39.0,0.0,0.0
825e77fffffffff,25.0,0.0,0.0
825f47fffffffff,5.0,0.0,0.0
825f5ffffffffff,15.0,0.0,0.0
826607fffffffff,2.0,0.0,2.0
82660ffffffffff,17.0,0.0,0.0
826617fffffffff,93.0,0.0,16.0
82661ffffffffff,3.0,0.0,3.0
826627fffffffff,15.0,0.0,1.0
82662ffffffffff,2.0,0.0,0.0
826657fffffffff,6.0,0.0,0.0
826677fffffffff,15.0,0.0,0.0
8266a7fffffffff,94.0,0.0,2.0
8266b7fffffffff,57.0,1.0,0.0
8266c7fffffffff,5.0,0.0,0.0
8266d7fffffffff,26.0,0.0,1.0
8266dffffffffff,4.0,0.0,0.0
8266e7fffffffff,7.0,0.0,0.0
8266effffffffff,2.0,0.0,0.0
8266f7fffffffff,30.0,0.0,0.0
826747fffffffff,120.0,0.0,1.0
82674ffffffffff,5.0,0.0,0.0
826757fffffffff,35.0,0.0,0.0
82675ffffffffff,3.0,0.0,0.0
826777fffffffff,78.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0
826c5ffffffffff,3.0,0.0,0.0
826d07fffffffff,5.0,2.0,0.0
826d27fffffffff,44.0,21.0,0.0
826d2ffffffffff,24.0,0.0,0.0
826d37fffffffff,23.0,2.0,0.0
826d67fffffffff,22.0,0.0,0.0
826d6ffffffffff,61.0,1.0,0.0
826d77fffffffff,25.0,0.0,0.0
828167fffffffff,4.0,0.0,0.0
828a6ffffffffff,10.0,0.0,0.0
828a8ffffffffff,11.0,0.0,0.0
828aaffffffffff,21.0,0.0,0.0
828af7fffffffff,10.0,0.0,0.0
828b07fffffffff,3.0,0.0,0.0
828b47fffffffff,11.0,0.0,2.0
828b4ffffffffff,2.0,0.0,0.0
828b67fffffffff,19.0,0.0,0.0
828b6ffffffffff,3.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828e77fffffffff,2.0,0.0,0.0
828f0ffffffffff,17.0,0.0,0.0
828f47fffffffff,8.0,0.0,0.0
828f4ffffffffff,15.0,0.0,0.0
828f57fffffffff,4.0,0.0,4.0
828f5ffffffffff,2.0,0.0,0.0
828f6ffffffffff,7.0,0.0,0.0
82a837fffffffff,3.0,0.0,0.0
82a85ffffffffff,1.0,0.0,1.0
82a88ffffffffff,1.0,0.0,1.0
82a897fffffffff,4.0,0.0,0.0
82a91ffffffffff,1.0,0.0,0.0
82a947fffffffff,20.0,0.0,0.0
82a957fffffffff,2.0,0.0,0.0
82a967fffffffff,105.0,0.0,2.0
82a96ffffffffff,35.0,0.0,0.0
82b24ffffffffff,33.0,0.0,0.0
82b25ffffffffff,4.0,0.0,0.0
82b267fffffffff,2.0,0.0,0.0
82b26ffffffffff,121.0,0.0,0.0
82b2c7fffffffff,2.0,0.0,0.0
82b2effffffffff,57.0,0.0,0.0
82b347fffffffff,29.0,0.0,0.0
82b34ffffffffff,3.0,0.0,0.0
82b357fffffffff,5.0,0.0,0.0
82b35ffffffffff,10.0,0.0,0.0
82c2c7fffffffff,19.0,0.0,1.0
82c2cffffffffff,102.0,0.0,0.0
82c2dffffffffff,11.0,0.0,0.0
82c2e7fffffffff,20.0,0.0,0.0
82c2effffffffff,12.0,0.0,0.0
82c2f7fffffffff,2.0,0.0,0.0
82c347fffffffff,7.0,0.0,0.0
82c34ffffffffff,4.0,0.0,0.0
