cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
84248b1ffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
84248b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84248b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84248b9ffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
84248bbffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84248bdffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8424c05ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8424c0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8424c63ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d05ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d19ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d21ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d23ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d2bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8424d6dffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8424de3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8424de7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
842e017ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e08bffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e0a1ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e0a5ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e0a9ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e0abffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e0adffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e0bdffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e0c9ffffffff,27.0,0.0,27.0,0.0,0.0,0.0,0.0
842e0d7ffffffff,82.0,0.0,82.0,0.0,0.0,0.0,0.0
842e0e5ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e0e7ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e123ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842e127ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842e135ffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
842e137ffffffff,28.0,0.0,28.0,0.0,0.0,0.0,0.0
842e187ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e191ffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
842e1a1ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e1a5ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842e1a7ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e1adffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842e1b1ffffffff,63.0,0.0,63.0,0.0,0.0,0.0,0.0
842e1b5ffffffff,45.0,0.0,45.0,0.0,0.0,0.0,0.0
842e1b7ffffffff,12.0,0.0,12.0,0.0,0.0,0.0,0.0
842e1b9ffffffff,24.0,0.0,24.0,0.0,0.0,0.0,0.0
842e1bdffffffff,36.0,0.0,36.0,0.0,0.0,0.0,0.0
842e1dbffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e1e1ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e1e5ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e1e7ffffffff,12.0,0.0,12.0,0.0,0.0,0.0,0.0
842e293ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e297ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e299ffffffff,16.0,0.0,16.0,0.0,0.0,0.0,0.0
842e29bffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842e2b5ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e2b7ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e2dbffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e449ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e44dffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
842e605ffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
