cell_id,Megarynchus pitangua,Megarynchus pitangua [mexicanus Group],Megarynchus pitangua pitangua,Megarynchus pitangua chrysogaster
8444249ffffffff,23.0,0.0,0.0,0.0
8445011ffffffff,29.0,0.0,0.0,0.0
8445019ffffffff,183.0,0.0,0.0,0.0
844501bffffffff,195.0,9.0,0.0,0.0
8445053ffffffff,51.0,0.0,0.0,0.0
8445059ffffffff,7.0,0.0,0.0,0.0
844505bffffffff,173.0,0.0,0.0,0.0
8445081ffffffff,12.0,0.0,0.0,0.0
8445083ffffffff,320.0,20.0,0.0,0.0
8445085ffffffff,251.0,17.0,0.0,0.0
8445087ffffffff,334.0,32.0,0.0,0.0
8445089ffffffff,2.0,0.0,0.0,0.0
844508bffffffff,7.0,2.0,0.0,0.0
844508dffffffff,73.0,1.0,0.0,0.0
8445091ffffffff,46.0,15.0,0.0,0.0
8445093ffffffff,2.0,0.0,0.0,0.0
8445095ffffffff,8.0,4.0,0.0,0.0
8445097ffffffff,1.0,0.0,0.0,0.0
8445099ffffffff,145.0,3.0,0.0,0.0
844509bffffffff,913.0,268.0,0.0,0.0
844509dffffffff,6.0,2.0,0.0,0.0
84450a1ffffffff,549.0,10.0,0.0,0.0
84450a3ffffffff,145.0,24.0,0.0,0.0
84450a5ffffffff,133.0,4.0,0.0,0.0
84450a7ffffffff,59.0,6.0,0.0,0.0
84450a9ffffffff,126.0,11.0,0.0,0.0
84450abffffffff,59.0,4.0,0.0,0.0
84450adffffffff,41.0,2.0,0.0,0.0
84450b1ffffffff,94.0,8.0,0.0,0.0
84450b5ffffffff,114.0,0.0,0.0,0.0
84450b9ffffffff,95.0,0.0,0.0,0.0
84450bbffffffff,3.0,0.0,0.0,0.0
84450bdffffffff,53.0,2.0,0.0,0.0
84450c1ffffffff,36.0,0.0,0.0,0.0
84450c3ffffffff,5.0,0.0,0.0,0.0
84450c5ffffffff,80.0,6.0,0.0,0.0
84450c7ffffffff,17.0,0.0,0.0,0.0
84450cdffffffff,62.0,6.0,0.0,0.0
84450d1ffffffff,38.0,13.0,0.0,0.0
84450d3ffffffff,405.0,127.0,0.0,0.0
84450d5ffffffff,54.0,22.0,0.0,0.0
84450d7ffffffff,18.0,0.0,0.0,0.0
84450d9ffffffff,1.0,0.0,0.0,0.0
84450dbffffffff,3.0,3.0,0.0,0.0
84450ddffffffff,20.0,11.0,0.0,0.0
84450e1ffffffff,15.0,0.0,0.0,0.0
84450e3ffffffff,573.0,12.0,0.0,0.0
84450e7ffffffff,4.0,0.0,0.0,0.0
84450ebffffffff,237.0,24.0,0.0,0.0
84450edffffffff,2.0,0.0,0.0,0.0
844519bffffffff,7.0,1.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0,0.0
8445203ffffffff,121.0,8.0,0.0,0.0
8445205ffffffff,326.0,0.0,0.0,0.0
8445207ffffffff,170.0,0.0,0.0,0.0
8445209ffffffff,146.0,0.0,0.0,0.0
844520bffffffff,26.0,2.0,0.0,0.0
844520dffffffff,491.0,0.0,0.0,0.0
8445211ffffffff,16.0,0.0,0.0,0.0
8445213ffffffff,97.0,2.0,0.0,0.0
8445215ffffffff,651.0,0.0,0.0,0.0
8445217ffffffff,345.0,0.0,0.0,0.0
8445219ffffffff,9.0,0.0,0.0,0.0
844521bffffffff,2.0,0.0,0.0,0.0
844521dffffffff,112.0,21.0,0.0,0.0
8445221ffffffff,446.0,0.0,0.0,0.0
8445225ffffffff,1282.0,0.0,0.0,0.0
8445229ffffffff,1.0,0.0,0.0,0.0
844522bffffffff,150.0,0.0,0.0,0.0
844522dffffffff,10.0,0.0,0.0,0.0
8445231ffffffff,9.0,0.0,0.0,0.0
8445233ffffffff,547.0,0.0,0.0,0.0
844523bffffffff,114.0,0.0,0.0,0.0
8445241ffffffff,42.0,0.0,0.0,0.0
8445243ffffffff,293.0,0.0,0.0,0.0
8445245ffffffff,42.0,0.0,0.0,0.0
8445247ffffffff,670.0,0.0,0.0,0.0
8445249ffffffff,315.0,0.0,0.0,0.0
