cell_id,Ducula lacernulata,Ducula lacernulata lacernulata,Ducula lacernulata williami,Ducula lacernulata sasakensis
838c10fffffffff,21.0,2.0,0.0,0.0
838c13fffffffff,3.0,0.0,0.0,0.0
838c14fffffffff,1.0,0.0,0.0,0.0
838d81fffffffff,1.0,0.0,0.0,0.0
838d85fffffffff,1.0,0.0,0.0,0.0
838d88fffffffff,1.0,0.0,0.0,0.0
838d8cfffffffff,2.0,0.0,0.0,0.0
838da2fffffffff,129.0,0.0,0.0,0.0
838da3fffffffff,3.0,0.0,0.0,0.0
838da6fffffffff,1.0,0.0,0.0,0.0
838db5fffffffff,103.0,0.0,1.0,0.0
839426fffffffff,10.0,0.0,0.0,0.0
839518fffffffff,73.0,0.0,0.0,15.0
83951afffffffff,4.0,0.0,0.0,0.0
83951bfffffffff,1.0,0.0,0.0,0.0
83951efffffffff,41.0,0.0,0.0,6.0
8395a4fffffffff,5.0,0.0,0.0,0.0
8395a5fffffffff,2.0,0.0,0.0,0.0
