cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
83ad32fffffffff,9.0,4.0,0.0
83ad36fffffffff,15.0,3.0,0.0
83bc69fffffffff,11.0,0.0,0.0
83bc73fffffffff,2.0,0.0,0.0
83c01efffffffff,17.0,0.0,0.0
83c0e2fffffffff,7.0,0.0,0.0
83ca81fffffffff,1.0,0.0,0.0
83ccf1fffffffff,1.0,0.0,0.0
83da00fffffffff,69.0,0.0,0.0
83da06fffffffff,8.0,0.0,0.0
83da18fffffffff,75.0,0.0,0.0
83da1dfffffffff,2.0,0.0,0.0
83da73fffffffff,62.0,0.0,0.0
83daa9fffffffff,47.0,0.0,0.0
83daaafffffffff,3.0,0.0,0.0
83db82fffffffff,33.0,0.0,0.0
83db85fffffffff,44.0,0.0,0.0
83de1bfffffffff,2.0,0.0,0.0
83de80fffffffff,5.0,0.0,0.0
83de81fffffffff,4.0,0.0,3.0
83de82fffffffff,303.0,0.0,141.0
83de83fffffffff,2.0,0.0,0.0
83de90fffffffff,6.0,0.0,0.0
83de94fffffffff,8.0,0.0,2.0
83de95fffffffff,958.0,0.0,429.0
83dea6fffffffff,2.0,0.0,0.0
83deaafffffffff,3.0,0.0,3.0
83df00fffffffff,4.0,0.0,0.0
83df02fffffffff,126.0,27.0,0.0
83df04fffffffff,8.0,2.0,0.0
83df05fffffffff,1.0,0.0,0.0
83df06fffffffff,414.0,74.0,0.0
83df11fffffffff,13.0,3.0,0.0
83df14fffffffff,173.0,38.0,0.0
83df15fffffffff,18.0,4.0,0.0
83df16fffffffff,12.0,2.0,0.0
83df1efffffffff,100.0,32.0,0.0
83df22fffffffff,2.0,0.0,0.0
83df26fffffffff,5.0,0.0,0.0
83df28fffffffff,8.0,0.0,0.0
83df30fffffffff,66.0,17.0,0.0
83df31fffffffff,123.0,22.0,0.0
83df32fffffffff,32.0,3.0,0.0
83df33fffffffff,4.0,2.0,0.0
83df35fffffffff,1086.0,322.0,0.0
83df80fffffffff,9.0,0.0,0.0
83df81fffffffff,31.0,0.0,0.0
83df83fffffffff,2.0,2.0,0.0
83df88fffffffff,2.0,0.0,0.0
83dfaafffffffff,2.0,0.0,0.0
83dfacfffffffff,1.0,0.0,0.0
83dfaefffffffff,2.0,2.0,0.0
83e093fffffffff,11.0,0.0,0.0
83e882fffffffff,4.0,2.0,0.0
83e891fffffffff,16.0,2.0,0.0
83e895fffffffff,1.0,0.0,0.0
83e898fffffffff,48.0,0.0,0.0
83e89bfffffffff,167.0,17.0,0.0
83e89cfffffffff,24.0,4.0,0.0
83e89dfffffffff,2.0,1.0,0.0
83e89efffffffff,11.0,0.0,0.0
83e8b0fffffffff,2.0,0.0,0.0
83e8b1fffffffff,2.0,0.0,0.0
83e99afffffffff,2.0,0.0,0.0
83ee69fffffffff,2.0,0.0,0.0
