cell_id,Thlypopsis superciliaris,Thlypopsis superciliaris chrysophrys,Thlypopsis superciliaris [superciliaris Group],Thlypopsis superciliaris leucogastra/insignis,Thlypopsis superciliaris urubambae
826607fffffffff,4.0,0.0,0.0,0.0,0.0
82660ffffffffff,226.0,0.0,1.0,0.0,0.0
82661ffffffffff,561.0,0.0,15.0,0.0,0.0
82662ffffffffff,80.0,23.0,0.0,0.0,0.0
8266c7fffffffff,235.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1383.0,0.0,168.0,0.0,0.0
8266dffffffffff,251.0,0.0,52.0,0.0,0.0
8266e7fffffffff,5469.0,0.0,177.0,0.0,0.0
8266f7fffffffff,201.0,0.0,0.0,0.0,0.0
82675ffffffffff,22.0,0.0,0.0,0.0,0.0
828b2ffffffffff,61.0,0.0,0.0,0.0,0.0
828b67fffffffff,695.0,0.0,0.0,0.0,61.0
828b6ffffffffff,256.0,0.0,0.0,0.0,20.0
828b77fffffffff,4.0,0.0,0.0,0.0,0.0
828e67fffffffff,125.0,0.0,0.0,60.0,0.0
828e6ffffffffff,12.0,0.0,0.0,0.0,1.0
828f0ffffffffff,2.0,0.0,0.0,0.0,0.0
828f2ffffffffff,327.0,0.0,19.0,0.0,0.0
828f47fffffffff,66.0,0.0,0.0,11.0,0.0
828f4ffffffffff,11.0,0.0,0.0,0.0,0.0
828f57fffffffff,425.0,0.0,0.0,131.0,0.0
828f5ffffffffff,130.0,0.0,0.0,23.0,0.0
828f77fffffffff,245.0,0.0,49.0,0.0,0.0
82b327fffffffff,86.0,0.0,0.0,0.0,0.0
