cell_id,Sciaphylax hemimelaena,Sciaphylax hemimelaena hemimelaena,Sciaphylax hemimelaena pallens
848a001ffffffff,3.0,0.0,0.0
848a01dffffffff,4.0,0.0,0.0
848a04bffffffff,6.0,0.0,6.0
848a051ffffffff,2.0,0.0,0.0
848a059ffffffff,19.0,0.0,4.0
848a05dffffffff,6.0,0.0,4.0
848a069ffffffff,16.0,0.0,11.0
848a109ffffffff,1.0,0.0,0.0
848a157ffffffff,2.0,0.0,0.0
848a1e5ffffffff,2.0,0.0,0.0
848a213ffffffff,2.0,0.0,0.0
848a217ffffffff,6.0,0.0,0.0
848a21bffffffff,2.0,0.0,1.0
848a233ffffffff,4.0,0.0,3.0
848a23bffffffff,11.0,0.0,9.0
848a249ffffffff,3.0,0.0,3.0
848a2cdffffffff,3.0,0.0,0.0
848a313ffffffff,3.0,0.0,2.0
848a317ffffffff,4.0,0.0,4.0
848a337ffffffff,1.0,0.0,0.0
848a33bffffffff,2.0,0.0,2.0
848a459ffffffff,24.0,0.0,0.0
848a45dffffffff,2.0,0.0,0.0
848a68bffffffff,1.0,0.0,0.0
848a6d7ffffffff,9.0,0.0,0.0
848a6d9ffffffff,34.0,0.0,0.0
848a6dbffffffff,3.0,0.0,0.0
848a70bffffffff,4.0,0.0,0.0
848a809ffffffff,7.0,0.0,0.0
848a827ffffffff,7.0,0.0,0.0
848a913ffffffff,2.0,0.0,0.0
848a921ffffffff,1.0,0.0,0.0
848a92dffffffff,1.0,0.0,0.0
848a9c9ffffffff,1.0,0.0,0.0
848a9cdffffffff,12.0,0.0,0.0
848aad5ffffffff,2.0,0.0,0.0
848aaddffffffff,2.0,0.0,0.0
848ab03ffffffff,1.0,0.0,0.0
848ae59ffffffff,1.0,0.0,0.0
848b105ffffffff,2.0,0.0,1.0
848b11dffffffff,10.0,0.0,0.0
848b1a5ffffffff,1.0,0.0,1.0
848b1cdffffffff,2.0,0.0,0.0
848b1dbffffffff,11.0,0.0,0.0
848b1e1ffffffff,2.0,0.0,2.0
848b211ffffffff,7.0,0.0,0.0
848b213ffffffff,29.0,0.0,0.0
848b221ffffffff,1.0,0.0,0.0
848b223ffffffff,86.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0
848b22bffffffff,19.0,0.0,0.0
848b239ffffffff,2.0,0.0,0.0
848b23bffffffff,7.0,0.0,0.0
848b23dffffffff,6.0,0.0,0.0
848b2c5ffffffff,14.0,0.0,0.0
848b2c7ffffffff,7.0,0.0,0.0
848b2e9ffffffff,27.0,0.0,0.0
848b2ebffffffff,1.0,0.0,0.0
848b401ffffffff,100.0,0.0,0.0
848b403ffffffff,1.0,0.0,0.0
848b405ffffffff,1.0,0.0,0.0
848b40bffffffff,30.0,0.0,0.0
848b40dffffffff,95.0,2.0,0.0
848b429ffffffff,37.0,0.0,0.0
848b42dffffffff,4.0,0.0,0.0
848b439ffffffff,1.0,0.0,0.0
848b445ffffffff,29.0,0.0,0.0
848b447ffffffff,12.0,0.0,0.0
848b449ffffffff,41.0,0.0,0.0
848b44bffffffff,205.0,8.0,0.0
848b44dffffffff,310.0,2.0,0.0
848b459ffffffff,12.0,0.0,0.0
848b461ffffffff,7.0,0.0,0.0
