cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
831215fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
831218fffffffff,167.0,0.0,0.0,0.0,0.0,0.0
831219fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83121afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83121bfffffffff,21.0,0.0,0.0,0.0,0.0,0.0
83121efffffffff,55.0,0.0,0.0,0.0,0.0,0.0
831229fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831243fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83124bfffffffff,27.0,0.0,0.0,0.0,0.0,0.0
831250fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,151.0,0.0,0.0,0.0,0.0,0.0
831252fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
831253fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
831254fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
831258fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
831259fffffffff,171.0,0.0,0.0,0.0,0.0,0.0
83125bfffffffff,25.0,0.0,0.0,0.0,0.0,0.0
83125dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
831272fffffffff,116.0,0.0,0.0,0.0,0.0,0.0
831288fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
831289fffffffff,189.0,0.0,0.0,0.0,0.0,0.0
83128afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83128bfffffffff,22.0,0.0,0.0,0.0,0.0,0.0
83128dfffffffff,30.0,0.0,0.0,0.0,0.0,0.0
83128efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8312a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312aafffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312abfffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312c0fffffffff,190.0,0.0,0.0,0.0,0.0,0.0
8312c1fffffffff,40.0,0.0,0.0,0.0,0.0,0.0
8312c2fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8312c3fffffffff,185.0,0.0,0.0,0.0,0.0,0.0
8312c4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8312c8fffffffff,129.0,0.0,7.0,0.0,0.0,0.0
8312c9fffffffff,86.0,0.0,0.0,0.0,0.0,0.0
8312cafffffffff,67.0,0.0,0.0,0.0,0.0,0.0
8312cbfffffffff,52.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,1390.0,0.0,8.0,0.0,0.0,0.0
8312cdfffffffff,449.0,0.0,0.0,0.0,0.0,0.0
8312cefffffffff,34.0,0.0,0.0,0.0,0.0,0.0
8312d0fffffffff,424.0,0.0,0.0,0.0,0.0,0.0
8312d1fffffffff,701.0,0.0,0.0,0.0,0.0,0.0
8312d3fffffffff,172.0,0.0,0.0,0.0,0.0,0.0
8312d4fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
8312d5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8312d6fffffffff,184.0,0.0,0.0,0.0,0.0,0.0
8312d8fffffffff,88.0,0.0,0.0,0.0,0.0,0.0
8312d9fffffffff,72.0,0.0,0.0,0.0,0.0,0.0
