cell_id,Hypsipetes affinis,Hypsipetes affinis affinis,Hypsipetes affinis flavicaudus
829547fffffffff,61.0,0.0,0.0
82954ffffffffff,4.0,0.0,0.0
82956ffffffffff,257.0,0.0,0.0
