cell_id,Pheucticus aureoventris,Pheucticus aureoventris meridensis,Pheucticus aureoventris crissalis,Pheucticus aureoventris uropygialis/terminalis,Pheucticus aureoventris aureoventris
84660b1ffffffff,2.0,0.0,0.0,0.0,0.0
8466c69ffffffff,20.0,0.0,0.0,0.0,0.0
8466c6dffffffff,8.0,0.0,0.0,0.0,0.0
8466d11ffffffff,4.0,0.0,0.0,0.0,0.0
8466d19ffffffff,18.0,0.0,2.0,0.0,0.0
8466d53ffffffff,62.0,0.0,0.0,0.0,0.0
8466d57ffffffff,4.0,0.0,0.0,0.0,0.0
8466d5bffffffff,5.0,0.0,0.0,0.0,0.0
848b0dbffffffff,2.0,0.0,0.0,0.0,0.0
848b201ffffffff,1.0,0.0,0.0,0.0,1.0
848b203ffffffff,1.0,0.0,0.0,0.0,1.0
848b229ffffffff,2.0,0.0,0.0,0.0,2.0
848b22dffffffff,6.0,0.0,0.0,0.0,6.0
848b251ffffffff,2.0,0.0,0.0,0.0,2.0
848b257ffffffff,2.0,0.0,0.0,0.0,2.0
848b25dffffffff,2.0,0.0,0.0,0.0,0.0
848b2cdffffffff,1.0,0.0,0.0,0.0,1.0
848b713ffffffff,5.0,0.0,0.0,0.0,0.0
848ba63ffffffff,2.0,0.0,0.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0,2.0,0.0
84a8143ffffffff,33.0,0.0,0.0,0.0,0.0
84a8441ffffffff,2.0,0.0,0.0,0.0,0.0
84a8599ffffffff,2.0,0.0,0.0,0.0,0.0
84a9461ffffffff,4.0,0.0,0.0,0.0,0.0
84a94c7ffffffff,1.0,0.0,0.0,0.0,0.0
84a9753ffffffff,1.0,0.0,0.0,0.0,0.0
84b2435ffffffff,7.0,0.0,0.0,0.0,0.0
84b243dffffffff,1.0,0.0,0.0,0.0,0.0
84b24adffffffff,3.0,0.0,0.0,0.0,0.0
84b25ddffffffff,2.0,0.0,0.0,0.0,0.0
84b3253ffffffff,2.0,0.0,0.0,0.0,2.0
84b325bffffffff,2.0,0.0,0.0,0.0,2.0
84b32dbffffffff,2.0,0.0,0.0,0.0,2.0
84b3425ffffffff,3.0,0.0,0.0,0.0,0.0
84b3439ffffffff,1.0,0.0,0.0,0.0,0.0
84b343bffffffff,2.0,0.0,0.0,0.0,0.0
84b345dffffffff,2.0,0.0,0.0,0.0,0.0
84b349dffffffff,2.0,0.0,0.0,0.0,0.0
84b34b3ffffffff,1.0,0.0,0.0,0.0,0.0
84b34b9ffffffff,12.0,0.0,0.0,0.0,0.0
84b34d1ffffffff,4.0,0.0,0.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0,0.0,0.0
84b34d9ffffffff,5.0,0.0,0.0,0.0,0.0
84b34dbffffffff,1.0,0.0,0.0,0.0,0.0
84b3661ffffffff,2.0,0.0,0.0,0.0,0.0
84b3663ffffffff,3.0,0.0,0.0,0.0,0.0
84b366dffffffff,1.0,0.0,0.0,0.0,0.0
84c2cd3ffffffff,2.0,0.0,0.0,0.0,0.0
84c2e31ffffffff,3.0,0.0,0.0,0.0,0.0
84c2e37ffffffff,2.0,0.0,0.0,0.0,0.0
