cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
82414ffffffffff,4.0,0.0,0.0
824167fffffffff,3.0,0.0,0.0
82416ffffffffff,31.0,0.0,0.0
824a97fffffffff,10.0,0.0,0.0
826417fffffffff,76.0,0.0,0.0
826427fffffffff,204.0,1.0,0.0
826437fffffffff,735.0,6.0,0.0
826487fffffffff,87.0,1.0,0.0
826497fffffffff,68.0,2.0,0.0
8264a7fffffffff,1663.0,10.0,0.0
8264b7fffffffff,119.0,0.0,0.0
826507fffffffff,2259.0,0.0,0.0
82650ffffffffff,77.0,0.0,0.0
826517fffffffff,4.0,0.0,0.0
82651ffffffffff,1026.0,10.0,0.0
826527fffffffff,5429.0,0.0,0.0
82652ffffffffff,36.0,0.0,0.0
826557fffffffff,66.0,0.0,0.0
826577fffffffff,21.0,0.0,0.0
826587fffffffff,2399.0,0.0,0.0
82658ffffffffff,2887.0,31.0,0.0
826597fffffffff,190.0,0.0,0.0
82659ffffffffff,560.0,0.0,0.0
8265a7fffffffff,28.0,0.0,0.0
8265affffffffff,10.0,0.0,0.0
8265b7fffffffff,354.0,0.0,0.0
826807fffffffff,33.0,0.0,0.0
826817fffffffff,1410.0,5.0,0.0
82681ffffffffff,1638.0,7.0,0.0
826847fffffffff,378.0,0.0,0.0
82684ffffffffff,240.0,0.0,1.0
826857fffffffff,75.0,0.0,1.0
82685ffffffffff,1042.0,0.0,5.0
826867fffffffff,87.0,0.0,2.0
82686ffffffffff,6.0,0.0,0.0
826877fffffffff,52.0,0.0,0.0
82688ffffffffff,11.0,0.0,0.0
826897fffffffff,13.0,0.0,0.0
82689ffffffffff,7.0,0.0,0.0
8268a7fffffffff,59.0,0.0,0.0
8268affffffffff,7.0,0.0,0.0
8268b7fffffffff,3.0,1.0,0.0
8268c7fffffffff,7.0,0.0,0.0
8268d7fffffffff,37.0,0.0,0.0
8268e7fffffffff,3.0,0.0,0.0
826947fffffffff,2450.0,0.0,6.0
82694ffffffffff,2722.0,0.0,0.0
82695ffffffffff,134.0,0.0,0.0
82696ffffffffff,222.0,0.0,1.0
8272affffffffff,2.0,0.0,0.0
827397fffffffff,2.0,0.0,0.0
82739ffffffffff,2.0,0.0,0.0
828c17fffffffff,428.0,7.0,0.0
828c1ffffffffff,9.0,0.0,0.0
828c8ffffffffff,3.0,0.0,0.0
828c97fffffffff,112.0,2.0,0.0
828caffffffffff,77.0,2.0,0.0
828cd7fffffffff,56.0,4.0,0.0
828cdffffffffff,4.0,0.0,0.0
828d87fffffffff,52.0,0.0,0.0
828d8ffffffffff,43.0,0.0,0.0
828d97fffffffff,2.0,0.0,0.0
828da7fffffffff,312.0,6.0,0.0
828daffffffffff,6.0,0.0,0.0
828db7fffffffff,969.0,9.0,0.0
829427fffffffff,3.0,0.0,0.0
82942ffffffffff,10.0,0.0,0.0
829507fffffffff,36.0,0.0,0.0
82951ffffffffff,12.0,0.0,0.0
82952ffffffffff,2.0,0.0,0.0
829547fffffffff,4.0,0.0,0.0
8295a7fffffffff,840.0,10.0,0.0
8295affffffffff,5.0,0.0,0.0
