cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
820747fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820767fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,8.0,0.0,0.0,8.0,0.0,0.0,0.0
82089ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,12.0,0.0,0.0,12.0,0.0,0.0,0.0
8208c7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
820987fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
821187fffffffff,17.0,0.0,0.0,17.0,0.0,0.0,0.0
82118ffffffffff,9.0,0.0,0.0,9.0,0.0,0.0,0.0
8211affffffffff,71.0,0.0,0.0,71.0,0.0,0.0,0.0
82159ffffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
82182ffffffffff,227.0,0.0,0.0,1.0,0.0,0.0,0.0
82184ffffffffff,17.0,0.0,0.0,9.0,0.0,0.0,0.0
82185ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,9.0,0.0,0.0,9.0,0.0,0.0,0.0
821877fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,5.0,0.0,0.0,4.0,0.0,0.0,0.0
82195ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,11.0,0.0,0.0,11.0,0.0,0.0,0.0
821e0ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
821e37fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821ea7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
821ec7fffffffff,17.0,0.0,0.0,1.0,0.0,0.0,0.0
821ecffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821ee7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f07fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
821f1ffffffffff,6.0,0.0,0.0,2.0,0.0,0.0,0.0
821f2ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
821f37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821f57fffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
821f5ffffffffff,10.0,0.0,0.0,10.0,0.0,0.0,0.0
821f77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821f87fffffffff,7.0,0.0,0.0,5.0,0.0,0.0,0.0
821f8ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
821f9ffffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
821faffffffffff,96.0,0.0,0.0,96.0,0.0,0.0,0.0
82202ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82206ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
822147fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82255ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822c1ffffffffff,24.0,0.0,0.0,0.0,24.0,0.0,0.0
822c27fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0
822c2ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
822d37fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
822e77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823017fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
823087fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,2.0
82318ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82344ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823867fffffffff,37.0,0.0,29.0,0.0,0.0,0.0,0.0
823877fffffffff,50.0,0.0,39.0,0.0,0.0,0.0,0.0
823907fffffffff,36.0,0.0,0.0,8.0,0.0,0.0,0.0
82390ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823917fffffffff,19.0,0.0,0.0,2.0,0.0,0.0,0.0
82391ffffffffff,35.0,0.0,29.0,1.0,0.0,0.0,0.0
823927fffffffff,18.0,0.0,0.0,8.0,0.0,0.0,0.0
82392ffffffffff,26.0,0.0,0.0,5.0,0.0,0.0,0.0
823937fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
823947fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
823957fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
823967fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
823977fffffffff,123.0,0.0,0.0,4.0,0.0,0.0,0.0
823987fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
823c5ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
823f2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823f67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
823f6ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82404ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,7.0
824097fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8240d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0
824197fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
82649ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
