cell_id,Tauraco persa,Tauraco persa buffoni,Tauraco persa persa/zenkeri
82541ffffffffff,3.0,0.0,0.0
8254affffffffff,149.0,7.0,0.0
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,41.0,2.0,0.0
8254effffffffff,14.0,0.0,0.0
8254f7fffffffff,119.0,10.0,0.0
825887fffffffff,5.0,0.0,0.0
82588ffffffffff,4.0,0.0,0.0
825897fffffffff,61.0,0.0,4.0
82589ffffffffff,1.0,0.0,0.0
8258b7fffffffff,7.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258d7fffffffff,13.0,0.0,0.0
8258dffffffffff,20.0,0.0,0.0
8258e7fffffffff,6.0,0.0,0.0
827507fffffffff,2.0,0.0,0.0
82750ffffffffff,192.0,0.0,37.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,2.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,196.0,0.0,35.0
827537fffffffff,1.0,0.0,0.0
827577fffffffff,63.0,0.0,14.0
827587fffffffff,1.0,0.0,0.0
8275a7fffffffff,14.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
828287fffffffff,15.0,0.0,3.0
82828ffffffffff,21.0,0.0,3.0
828297fffffffff,7.0,0.0,0.0
8282a7fffffffff,20.0,0.0,3.0
8282affffffffff,50.0,0.0,7.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,15.0,0.0,0.0
828317fffffffff,3.0,0.0,1.0
82838ffffffffff,1.0,0.0,1.0
8283affffffffff,14.0,0.0,0.0
