cell_id,Emberiza cineracea,Emberiza cineracea cineracea,Emberiza cineracea semenowi
831ed9fffffffff,1.0,1.0,0.0
832c10fffffffff,5.0,0.0,2.0
832c11fffffffff,1.0,0.0,0.0
832c14fffffffff,1.0,0.0,1.0
832c15fffffffff,5.0,0.0,4.0
832c33fffffffff,8.0,0.0,7.0
832c90fffffffff,5.0,0.0,0.0
832caafffffffff,3.0,0.0,0.0
832cacfffffffff,29.0,0.0,0.0
832cadfffffffff,2.0,0.0,0.0
832d1afffffffff,1.0,0.0,0.0
832daefffffffff,2.0,0.0,0.0
832db0fffffffff,7.0,0.0,0.0
832db1fffffffff,2.0,0.0,0.0
832db2fffffffff,2.0,0.0,2.0
833e68fffffffff,6.0,4.0,1.0
833e6cfffffffff,12.0,0.0,2.0
833f4dfffffffff,3.0,0.0,2.0
833f64fffffffff,1.0,0.0,0.0
833f66fffffffff,1.0,0.0,0.0
8343a0fffffffff,4.0,0.0,2.0
8343a1fffffffff,6.0,0.0,3.0
8343acfffffffff,3.0,0.0,2.0
8343aefffffffff,15.0,0.0,7.0
835345fffffffff,2.0,0.0,2.0
83534dfffffffff,9.0,0.0,6.0
