cell_id,Loxia leucoptera,Loxia leucoptera bifasciata,Loxia leucoptera leucoptera
820747fffffffff,2.0,2.0,0.0
82081ffffffffff,4.0,0.0,0.0
8208e7fffffffff,2.0,0.0,0.0
820c07fffffffff,2.0,0.0,0.0
820c17fffffffff,8.0,0.0,0.0
820c47fffffffff,103.0,0.0,0.0
820c57fffffffff,14.0,0.0,0.0
820c5ffffffffff,8.0,0.0,0.0
820c77fffffffff,15.0,0.0,0.0
820ca7fffffffff,8.0,0.0,0.0
820ceffffffffff,3.0,0.0,0.0
820d07fffffffff,2.0,0.0,2.0
820d0ffffffffff,2.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0
820e6ffffffffff,4.0,0.0,0.0
820e87fffffffff,2.0,0.0,1.0
820ec7fffffffff,4.0,0.0,2.0
820ecffffffffff,46.0,0.0,32.0
820eeffffffffff,166.0,0.0,1.0
8211affffffffff,4.0,2.0,0.0
821217fffffffff,8.0,0.0,0.0
821247fffffffff,9.0,0.0,0.0
821257fffffffff,6.0,0.0,2.0
82125ffffffffff,7.0,0.0,0.0
821267fffffffff,2.0,0.0,0.0
821277fffffffff,4.0,0.0,0.0
821297fffffffff,11.0,0.0,0.0
82129ffffffffff,7.0,0.0,0.0
8212b7fffffffff,15.0,0.0,0.0
8212c7fffffffff,4.0,0.0,0.0
8212cffffffffff,36.0,0.0,0.0
8212d7fffffffff,13.0,0.0,0.0
8212dffffffffff,111.0,0.0,1.0
8212effffffffff,9.0,0.0,0.0
821387fffffffff,29.0,0.0,0.0
821397fffffffff,14.0,0.0,0.0
8213b7fffffffff,1.0,0.0,0.0
821497fffffffff,1.0,0.0,0.0
82190ffffffffff,2.0,0.0,0.0
821927fffffffff,5.0,0.0,0.0
821947fffffffff,14.0,5.0,0.0
82194ffffffffff,4.0,2.0,0.0
82195ffffffffff,6.0,0.0,0.0
821aa7fffffffff,168.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0
821b87fffffffff,6.0,0.0,0.0
821b8ffffffffff,4.0,0.0,0.0
821b9ffffffffff,42.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0
821e0ffffffffff,2.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f4ffffffffff,6.0,0.0,0.0
821f57fffffffff,2.0,0.0,0.0
821f5ffffffffff,1.0,0.0,0.0
8222d7fffffffff,7.0,0.0,0.0
8222dffffffffff,28.0,0.0,0.0
822607fffffffff,54.0,0.0,0.0
82260ffffffffff,55.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0
822627fffffffff,13.0,0.0,0.0
82262ffffffffff,40.0,0.0,0.0
822637fffffffff,2.0,0.0,0.0
822647fffffffff,33.0,0.0,3.0
82264ffffffffff,1.0,0.0,0.0
822657fffffffff,23.0,0.0,0.0
822667fffffffff,290.0,0.0,3.0
82266ffffffffff,16.0,0.0,0.0
822677fffffffff,27.0,0.0,2.0
822687fffffffff,38.0,0.0,0.0
82268ffffffffff,85.0,0.0,0.0
822697fffffffff,111.0,0.0,4.0
82269ffffffffff,18.0,0.0,0.0
8226a7fffffffff,15.0,0.0,2.0
8226affffffffff,11.0,0.0,0.0
8226b7fffffffff,6.0,0.0,0.0
8226cffffffffff,2.0,0.0,0.0
8226e7fffffffff,8.0,0.0,0.0
822707fffffffff,7.0,0.0,0.0
82270ffffffffff,17.0,0.0,2.0
82271ffffffffff,12.0,0.0,0.0
82272ffffffffff,2.0,0.0,0.0
822747fffffffff,225.0,0.0,1.0
82274ffffffffff,353.0,0.0,3.0
822757fffffffff,96.0,0.0,0.0
82275ffffffffff,455.0,0.0,1.0
822767fffffffff,108.0,0.0,2.0
82276ffffffffff,124.0,0.0,7.0
822777fffffffff,92.0,0.0,5.0
82278ffffffffff,24.0,0.0,0.0
822797fffffffff,2.0,0.0,0.0
8227a7fffffffff,3.0,0.0,0.0
8227affffffffff,16.0,0.0,0.0
8227b7fffffffff,3.0,0.0,0.0
822817fffffffff,3.0,0.0,3.0
82281ffffffffff,39.0,0.0,0.0
822887fffffffff,58.0,0.0,0.0
82288ffffffffff,131.0,0.0,2.0
822897fffffffff,31.0,0.0,0.0
82289ffffffffff,9.0,0.0,0.0
8228affffffffff,56.0,0.0,0.0
8228b7fffffffff,27.0,0.0,0.0
8228c7fffffffff,122.0,0.0,0.0
8228d7fffffffff,241.0,0.0,0.0
8228dffffffffff,181.0,0.0,0.0
8228f7fffffffff,99.0,0.0,0.0
822997fffffffff,13.0,0.0,0.0
822a07fffffffff,21.0,0.0,0.0
822a17fffffffff,416.0,0.0,4.0
822a37fffffffff,1059.0,0.0,4.0
822a87fffffffff,51.0,0.0,0.0
822a8ffffffffff,5.0,0.0,0.0
822a97fffffffff,130.0,0.0,2.0
822aa7fffffffff,177.0,0.0,5.0
822aaffffffffff,421.0,0.0,11.0
822ab7fffffffff,431.0,0.0,14.0
822af7fffffffff,3.0,0.0,0.0
822b07fffffffff,2.0,0.0,0.0
822b0ffffffffff,5.0,0.0,0.0
822b17fffffffff,31.0,0.0,0.0
822b1ffffffffff,76.0,0.0,0.0
822b27fffffffff,60.0,0.0,1.0
822b2ffffffffff,1.0,0.0,0.0
822b37fffffffff,13.0,0.0,0.0
822b87fffffffff,180.0,0.0,2.0
822b8ffffffffff,325.0,0.0,3.0
822b97fffffffff,31.0,0.0,21.0
822b9ffffffffff,976.0,0.0,173.0
822ba7fffffffff,15.0,0.0,0.0
822baffffffffff,318.0,0.0,1.0
822bb7fffffffff,10.0,0.0,0.0
823427fffffffff,6.0,0.0,2.0
82446ffffffffff,2.0,0.0,0.0
8244c7fffffffff,10.0,0.0,0.0
8244dffffffffff,4.0,0.0,0.0
8248cffffffffff,4.0,0.0,0.0
8248dffffffffff,17.0,0.0,0.0
