cell_id,Phoenicurus ochruros,Phoenicurus ochruros gibraltariensis/aterrimus,Phoenicurus ochruros [ochruros Group]
830836fffffffff,4.0,0.0,0.0
830880fffffffff,4.0,0.0,0.0
830882fffffffff,2.0,0.0,0.0
830883fffffffff,3.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0
830888fffffffff,6.0,0.0,0.0
830890fffffffff,5.0,0.0,0.0
830893fffffffff,5.0,0.0,0.0
830896fffffffff,2.0,0.0,0.0
83089afffffffff,71.0,0.0,0.0
83089bfffffffff,19.0,0.0,0.0
83089dfffffffff,2.0,0.0,0.0
83089efffffffff,15.0,0.0,0.0
8308a3fffffffff,1.0,0.0,0.0
8308b4fffffffff,2.0,0.0,0.0
8308cdfffffffff,3.0,0.0,0.0
8308cefffffffff,1.0,0.0,0.0
830980fffffffff,6.0,0.0,0.0
830982fffffffff,1.0,0.0,0.0
830988fffffffff,2.0,0.0,0.0
83098bfffffffff,2.0,0.0,0.0
830991fffffffff,23.0,0.0,0.0
830993fffffffff,4.0,0.0,0.0
830999fffffffff,2.0,0.0,0.0
83099efffffffff,2.0,0.0,0.0
8309a0fffffffff,9.0,0.0,0.0
8309a4fffffffff,10.0,0.0,0.0
8309a6fffffffff,6.0,0.0,0.0
8310c3fffffffff,2.0,0.0,0.0
8310d0fffffffff,1.0,0.0,0.0
8310dcfffffffff,1.0,0.0,0.0
8310f2fffffffff,1.0,0.0,0.0
831106fffffffff,7.0,0.0,0.0
831116fffffffff,24.0,0.0,0.0
831124fffffffff,4.0,0.0,0.0
831126fffffffff,3.0,0.0,0.0
83112efffffffff,2.0,0.0,0.0
831130fffffffff,2.0,0.0,0.0
831134fffffffff,2.0,0.0,0.0
831135fffffffff,1.0,0.0,0.0
831136fffffffff,3.0,0.0,0.0
831180fffffffff,2.0,0.0,0.0
831181fffffffff,25.0,1.0,0.0
831183fffffffff,2.0,0.0,0.0
831185fffffffff,2.0,0.0,0.0
83118afffffffff,51.0,0.0,0.0
83118cfffffffff,13.0,2.0,0.0
83118efffffffff,26.0,0.0,0.0
831191fffffffff,6.0,0.0,0.0
83119efffffffff,8.0,0.0,0.0
8311a4fffffffff,1.0,0.0,0.0
8311a6fffffffff,1.0,0.0,0.0
8311aafffffffff,3.0,0.0,2.0
8311abfffffffff,3.0,0.0,0.0
8311aefffffffff,30.0,18.0,0.0
8311b2fffffffff,1.0,0.0,0.0
8311b4fffffffff,2.0,0.0,0.0
83182afffffffff,1.0,1.0,0.0
