cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
84450a1ffffffff,2.0,2.0,0.0
84450b1ffffffff,3.0,3.0,0.0
84450c1ffffffff,2.0,0.0,0.0
8445209ffffffff,1.0,0.0,0.0
844520dffffffff,6.0,0.0,6.0
8445251ffffffff,5.0,3.0,0.0
8445257ffffffff,13.0,13.0,0.0
844525bffffffff,18.0,0.0,11.0
84452a3ffffffff,3.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0
8449907ffffffff,1.0,1.0,0.0
8449961ffffffff,6.0,0.0,0.0
8449963ffffffff,1.0,1.0,0.0
8449965ffffffff,2.0,2.0,0.0
8449987ffffffff,1.0,1.0,0.0
8466b4dffffffff,27.0,0.0,0.0
846795dffffffff,2.0,0.0,0.0
846d231ffffffff,5.0,0.0,0.0
846d239ffffffff,5.0,1.0,0.0
846d23dffffffff,6.0,0.0,0.0
846d295ffffffff,3.0,0.0,0.0
846d297ffffffff,10.0,0.0,0.0
846d2a1ffffffff,11.0,0.0,11.0
846d2b3ffffffff,5.0,0.0,0.0
846d2d7ffffffff,5.0,0.0,0.0
846d30dffffffff,2.0,1.0,0.0
846d313ffffffff,4.0,0.0,0.0
846d315ffffffff,9.0,0.0,0.0
846d661ffffffff,2.0,0.0,2.0
846d66bffffffff,1.0,0.0,0.0
846d681ffffffff,5.0,0.0,2.0
846d683ffffffff,2.0,0.0,2.0
846d685ffffffff,1.0,0.0,0.0
846d689ffffffff,4.0,0.0,0.0
846d68bffffffff,4.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
846d695ffffffff,13.0,0.0,13.0
846d69bffffffff,2.0,0.0,2.0
846d69dffffffff,7.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
