cell_id,Chroicocephalus maculipennis,Chroicocephalus maculipennis (White-winged),Chroicocephalus maculipennis (Dark-winged)
82a837fffffffff,42.0,0.0,0.0
82a907fffffffff,574.0,0.0,0.0
82a90ffffffffff,1.0,0.0,0.0
82a91ffffffffff,19.0,0.0,0.0
82a927fffffffff,154.0,0.0,0.0
82a92ffffffffff,414.0,0.0,0.0
82a967fffffffff,18.0,0.0,0.0
82b207fffffffff,7.0,0.0,0.0
82b21ffffffffff,213.0,0.0,0.0
82b247fffffffff,205.0,0.0,0.0
82b24ffffffffff,564.0,0.0,0.0
82b25ffffffffff,489.0,0.0,0.0
82b267fffffffff,6.0,0.0,0.0
82b26ffffffffff,37.0,0.0,0.0
82b277fffffffff,3.0,0.0,0.0
82b2c7fffffffff,9551.0,0.0,0.0
82b2cffffffffff,47.0,0.0,0.0
82b2dffffffffff,1267.0,0.0,0.0
82b2e7fffffffff,362.0,0.0,0.0
82b2effffffffff,14.0,0.0,0.0
82c207fffffffff,468.0,0.0,0.0
82c21ffffffffff,2366.0,0.0,0.0
82c227fffffffff,201.0,0.0,0.0
82c22ffffffffff,766.0,0.0,0.0
82c2c7fffffffff,643.0,0.0,0.0
82c2cffffffffff,29.0,0.0,0.0
82c2d7fffffffff,573.0,0.0,0.0
82c2dffffffffff,14.0,0.0,0.0
82c2e7fffffffff,3808.0,0.0,0.0
82c2effffffffff,457.0,0.0,0.0
82c2f7fffffffff,4940.0,0.0,0.0
82c307fffffffff,32.0,0.0,0.0
82c30ffffffffff,76.0,0.0,0.0
82c327fffffffff,387.0,0.0,0.0
82c32ffffffffff,1131.0,0.0,0.0
82c347fffffffff,250.0,0.0,0.0
82c34ffffffffff,427.0,0.0,0.0
82c357fffffffff,372.0,0.0,0.0
82c35ffffffffff,141.0,0.0,0.0
82c367fffffffff,219.0,0.0,0.0
82c36ffffffffff,5.0,0.0,0.0
82c377fffffffff,27.0,0.0,0.0
82ce17fffffffff,131.0,0.0,0.0
82ce37fffffffff,9.0,0.0,0.0
82ce87fffffffff,385.0,0.0,0.0
82ce8ffffffffff,4376.0,0.0,0.0
82ce97fffffffff,170.0,0.0,0.0
82ce9ffffffffff,563.0,0.0,0.0
82cea7fffffffff,386.0,0.0,0.0
82ceaffffffffff,9037.0,0.0,0.0
82cf17fffffffff,574.0,0.0,0.0
82cf1ffffffffff,2.0,0.0,0.0
82cf87fffffffff,75.0,0.0,0.0
82cf8ffffffffff,94.0,0.0,0.0
82cf97fffffffff,44.0,0.0,0.0
82cf9ffffffffff,126.0,0.0,0.0
82cfa7fffffffff,2962.0,0.0,0.0
82cfaffffffffff,466.0,0.0,0.0
82cfb7fffffffff,82.0,0.0,0.0
82de67fffffffff,32.0,0.0,0.0
82de77fffffffff,241.0,0.0,0.0
82df47fffffffff,606.0,0.0,0.0
82df4ffffffffff,34.0,0.0,0.0
82df6ffffffffff,1805.0,0.0,0.0
