cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
824527fffffffff,240.0,34.0,0.0,0.0
824537fffffffff,25.0,0.0,0.0,0.0
824807fffffffff,33.0,3.0,0.0,0.0
82480ffffffffff,553.0,95.0,0.0,0.0
824817fffffffff,502.0,41.0,0.0,0.0
82481ffffffffff,51.0,0.0,0.0,0.0
824837fffffffff,1246.0,84.0,0.0,0.0
8248a7fffffffff,5.0,0.0,0.0,0.0
8248e7fffffffff,211.0,29.0,0.0,0.0
824987fffffffff,922.0,139.0,0.0,0.0
82498ffffffffff,22.0,0.0,0.0,0.0
824997fffffffff,1942.0,360.0,0.0,0.0
82499ffffffffff,174.0,5.0,0.0,0.0
8249affffffffff,1327.0,183.0,0.0,0.0
8249b7fffffffff,387.0,90.0,0.0,0.0
826617fffffffff,38.0,0.0,2.0,0.0
82661ffffffffff,10.0,0.0,0.0,0.0
8266a7fffffffff,899.0,0.0,64.0,0.0
8266b7fffffffff,5944.0,0.0,130.0,0.0
8266c7fffffffff,2.0,0.0,0.0,0.0
8266d7fffffffff,68.0,0.0,0.0,24.0
8266f7fffffffff,290.0,0.0,0.0,11.0
82679ffffffffff,147.0,0.0,0.0,0.0
826d07fffffffff,28.0,2.0,0.0,0.0
826d17fffffffff,272.0,66.0,0.0,0.0
826d27fffffffff,674.0,141.0,0.0,0.0
826d2ffffffffff,3619.0,1261.0,0.0,0.0
826d37fffffffff,1759.0,368.0,0.0,0.0
826d67fffffffff,143.0,3.0,0.0,0.0
826d6ffffffffff,4074.0,0.0,0.0,0.0
