cell_id,Rhipidura versicolor,Rhipidura versicolor uraniae,Rhipidura versicolor saipanensis/mariae,Rhipidura versicolor versicolor
834e64fffffffff,232.0,0.0,1.0,0.0
834f49fffffffff,106.0,0.0,5.0,0.0
834f4bfffffffff,206.0,0.0,1.0,0.0
837356fffffffff,14.0,0.0,0.0,2.0
