cell_id,Leioptila annectens,Leioptila annectens [annectens Group],Leioptila annectens eximia
843c0a7ffffffff,1.0,0.0,0.0
843c0b7ffffffff,3.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c437ffffffff,1.0,0.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c527ffffffff,238.0,0.0,0.0
843c581ffffffff,174.0,0.0,0.0
843c583ffffffff,3.0,0.0,0.0
843c587ffffffff,4.0,0.0,0.0
843c595ffffffff,3.0,0.0,0.0
843c5b1ffffffff,5.0,0.0,0.0
843c5b7ffffffff,33.0,0.0,0.0
843c5bdffffffff,126.0,0.0,0.0
843c5c1ffffffff,14.0,0.0,0.0
843c5c5ffffffff,2.0,0.0,0.0
843c5c7ffffffff,1.0,0.0,0.0
843c5cbffffffff,22.0,0.0,0.0
843c5e9ffffffff,1.0,0.0,0.0
843cc11ffffffff,7.0,0.0,0.0
843cc31ffffffff,1.0,0.0,0.0
843cd8bffffffff,3.0,0.0,0.0
843ce31ffffffff,1.0,0.0,0.0
843ce3bffffffff,1.0,0.0,0.0
843ce51ffffffff,3.0,0.0,0.0
843ce55ffffffff,2.0,0.0,0.0
843ce57ffffffff,12.0,0.0,0.0
843ce5dffffffff,6.0,0.0,0.0
843ce83ffffffff,5.0,0.0,0.0
843ce87ffffffff,1.0,0.0,0.0
843ce95ffffffff,35.0,0.0,0.0
843cebdffffffff,5.0,0.0,0.0
84404c3ffffffff,5.0,0.0,0.0
84404c5ffffffff,1.0,0.0,0.0
84404ddffffffff,61.0,0.0,0.0
8440591ffffffff,11.0,0.0,0.0
8440657ffffffff,2.0,0.0,0.0
84406b7ffffffff,56.0,0.0,0.0
8441487ffffffff,1.0,0.0,0.0
844149bffffffff,1.0,0.0,0.0
84414c1ffffffff,1.0,0.0,0.0
84414c3ffffffff,29.0,0.0,0.0
84415a9ffffffff,4.0,0.0,0.0
84415abffffffff,1.0,0.0,0.0
844165bffffffff,5.0,0.0,0.0
8464821ffffffff,1.0,0.0,0.0
8464827ffffffff,2.0,0.0,0.0
8464829ffffffff,2.0,0.0,0.0
846482bffffffff,518.0,14.0,0.0
8464911ffffffff,584.0,26.0,0.0
8464949ffffffff,2.0,0.0,0.0
846494bffffffff,1.0,0.0,0.0
8464981ffffffff,2.0,0.0,0.0
8464983ffffffff,9.0,0.0,0.0
8464985ffffffff,4.0,0.0,0.0
84649c1ffffffff,1.0,0.0,0.0
8464a35ffffffff,7.0,0.0,0.0
8464a3dffffffff,7.0,0.0,0.0
