cell_id,Coua cristata,Coua cristata cristata/dumonti,Coua cristata pyropyga/maxima
84a2049ffffffff,1.0,0.0,0.0
84a2227ffffffff,1.0,0.0,0.0
84a2235ffffffff,12.0,3.0,0.0
84a231bffffffff,1.0,0.0,0.0
84a2a3bffffffff,3.0,0.0,1.0
84a2a47ffffffff,1.0,0.0,0.0
84a2a49ffffffff,94.0,0.0,14.0
84a2a69ffffffff,2.0,0.0,2.0
84a2a6bffffffff,1.0,0.0,0.0
84a2ae9ffffffff,1.0,0.0,0.0
84a2aedffffffff,213.0,4.0,14.0
84a3083ffffffff,1.0,0.0,0.0
84a3085ffffffff,1.0,1.0,0.0
84a3093ffffffff,4.0,0.0,0.0
84a30c3ffffffff,1.0,0.0,0.0
84a30ddffffffff,2.0,0.0,0.0
84a30e7ffffffff,13.0,1.0,0.0
84a3189ffffffff,2.0,0.0,0.0
84a318bffffffff,3.0,1.0,0.0
84a3191ffffffff,7.0,3.0,0.0
84a3199ffffffff,8.0,0.0,0.0
84a319dffffffff,290.0,34.0,0.0
84a31d1ffffffff,1.0,0.0,0.0
84a31d5ffffffff,3.0,0.0,0.0
84a3567ffffffff,17.0,0.0,0.0
84a3761ffffffff,7.0,1.0,0.0
84a3765ffffffff,9.0,0.0,0.0
84a3767ffffffff,1.0,0.0,0.0
84a3889ffffffff,2.0,0.0,0.0
84a3895ffffffff,1.0,0.0,0.0
84a38b3ffffffff,2.0,0.0,0.0
84a38c1ffffffff,1.0,0.0,0.0
84a38c7ffffffff,2.0,0.0,0.0
84a38cbffffffff,1.0,0.0,0.0
84a38d1ffffffff,1.0,0.0,0.0
84a38e7ffffffff,3.0,0.0,0.0
84a3993ffffffff,10.0,0.0,2.0
84a399bffffffff,328.0,2.0,39.0
84a39d3ffffffff,1.0,0.0,0.0
84a39dbffffffff,6.0,0.0,0.0
84a3a95ffffffff,2.0,0.0,0.0
84a3ab7ffffffff,39.0,2.0,0.0
84a3ab9ffffffff,1.0,0.0,0.0
84a3abbffffffff,6.0,0.0,0.0
84a3ad7ffffffff,5.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0
