cell_id,Glaucidium brasilianum,Glaucidium brasilianum [brasilianum Group],Glaucidium brasilianum tucumanum
8444249ffffffff,27.0,0.0,0.0
8445011ffffffff,38.0,0.0,0.0
8445013ffffffff,8.0,0.0,0.0
8445019ffffffff,209.0,2.0,0.0
844501bffffffff,148.0,6.0,0.0
8445081ffffffff,19.0,0.0,0.0
8445083ffffffff,274.0,0.0,0.0
8445085ffffffff,240.0,37.0,0.0
8445087ffffffff,459.0,0.0,0.0
8445089ffffffff,17.0,0.0,0.0
844508bffffffff,17.0,0.0,0.0
844508dffffffff,88.0,3.0,0.0
8445091ffffffff,101.0,0.0,0.0
8445093ffffffff,21.0,0.0,0.0
8445095ffffffff,3.0,0.0,0.0
8445097ffffffff,11.0,0.0,0.0
8445099ffffffff,233.0,0.0,0.0
844509bffffffff,968.0,0.0,0.0
844509dffffffff,12.0,0.0,0.0
84450a1ffffffff,663.0,13.0,0.0
84450a3ffffffff,179.0,0.0,0.0
84450a5ffffffff,209.0,20.0,0.0
84450a7ffffffff,127.0,11.0,0.0
84450a9ffffffff,129.0,2.0,0.0
84450abffffffff,106.0,0.0,0.0
84450adffffffff,92.0,2.0,0.0
84450b1ffffffff,321.0,0.0,0.0
84450b5ffffffff,155.0,0.0,0.0
84450b9ffffffff,79.0,0.0,0.0
84450bbffffffff,3.0,0.0,0.0
84450bdffffffff,127.0,0.0,0.0
84450c1ffffffff,19.0,0.0,0.0
84450c3ffffffff,4.0,0.0,0.0
84450c5ffffffff,65.0,0.0,0.0
84450c7ffffffff,3.0,0.0,0.0
84450cbffffffff,3.0,0.0,0.0
84450cdffffffff,45.0,0.0,0.0
84450d1ffffffff,28.0,0.0,0.0
84450d3ffffffff,342.0,0.0,0.0
84450d5ffffffff,87.0,0.0,0.0
84450d7ffffffff,47.0,0.0,0.0
84450d9ffffffff,5.0,0.0,0.0
84450dbffffffff,3.0,0.0,0.0
84450ddffffffff,22.0,0.0,0.0
84450e1ffffffff,10.0,0.0,0.0
84450e3ffffffff,415.0,28.0,0.0
84450e7ffffffff,6.0,5.0,0.0
84450ebffffffff,237.0,42.0,0.0
844519bffffffff,32.0,2.0,0.0
8445201ffffffff,5.0,0.0,0.0
8445203ffffffff,86.0,0.0,0.0
8445205ffffffff,323.0,0.0,0.0
8445207ffffffff,327.0,0.0,0.0
8445209ffffffff,159.0,0.0,0.0
844520bffffffff,6.0,0.0,0.0
844520dffffffff,558.0,0.0,0.0
8445211ffffffff,4.0,0.0,0.0
8445213ffffffff,19.0,0.0,0.0
8445219ffffffff,7.0,0.0,0.0
844521dffffffff,119.0,0.0,0.0
8445221ffffffff,184.0,0.0,0.0
8445225ffffffff,1105.0,0.0,0.0
8445229ffffffff,5.0,0.0,0.0
844522bffffffff,145.0,0.0,0.0
844522dffffffff,12.0,0.0,0.0
8445233ffffffff,4.0,0.0,0.0
8445241ffffffff,61.0,0.0,0.0
8445243ffffffff,470.0,0.0,0.0
8445245ffffffff,70.0,0.0,0.0
8445247ffffffff,757.0,0.0,0.0
8445249ffffffff,189.0,0.0,0.0
844524bffffffff,120.0,0.0,0.0
844524dffffffff,33.0,0.0,0.0
8445251ffffffff,100.0,5.0,0.0
8445253ffffffff,11.0,6.0,0.0
8445255ffffffff,309.0,0.0,0.0
8445257ffffffff,24.0,0.0,0.0
8445259ffffffff,2.0,0.0,0.0
844525bffffffff,296.0,37.0,0.0
844525dffffffff,33.0,0.0,0.0
8445261ffffffff,96.0,0.0,0.0
8445263ffffffff,992.0,0.0,0.0
8445265ffffffff,4.0,0.0,0.0
