cell_id,Megaceryle torquata,Megaceryle torquata torquata/stictipennis,Megaceryle torquata stellata
8445011ffffffff,5.0,0.0,0.0
8445017ffffffff,2.0,0.0,0.0
8445019ffffffff,13.0,0.0,0.0
844501bffffffff,89.0,3.0,0.0
8445053ffffffff,50.0,0.0,0.0
8445059ffffffff,87.0,0.0,0.0
844505bffffffff,582.0,0.0,0.0
8445085ffffffff,124.0,18.0,0.0
844508dffffffff,9.0,2.0,0.0
8445097ffffffff,2.0,0.0,0.0
844509bffffffff,9.0,0.0,0.0
84450a9ffffffff,5.0,0.0,0.0
84450b1ffffffff,24.0,0.0,0.0
84450b5ffffffff,1.0,0.0,0.0
84450c1ffffffff,44.0,3.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,57.0,0.0,0.0
84450c9ffffffff,3.0,0.0,0.0
84450cdffffffff,41.0,0.0,0.0
84450e1ffffffff,4.0,0.0,0.0
84450e3ffffffff,24.0,0.0,0.0
84450e7ffffffff,2.0,2.0,0.0
84450ebffffffff,8.0,6.0,0.0
844519bffffffff,1.0,1.0,0.0
8445203ffffffff,74.0,0.0,0.0
8445205ffffffff,114.0,0.0,0.0
8445207ffffffff,157.0,0.0,0.0
844520dffffffff,180.0,0.0,0.0
8445213ffffffff,2.0,0.0,0.0
8445215ffffffff,292.0,0.0,0.0
8445217ffffffff,116.0,0.0,0.0
8445219ffffffff,13.0,0.0,0.0
844521bffffffff,10.0,0.0,0.0
844521dffffffff,52.0,0.0,0.0
8445221ffffffff,95.0,0.0,0.0
8445223ffffffff,6.0,0.0,0.0
8445225ffffffff,704.0,0.0,0.0
8445229ffffffff,6.0,0.0,0.0
844522bffffffff,250.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0
8445231ffffffff,8.0,0.0,0.0
8445233ffffffff,213.0,0.0,0.0
844523bffffffff,121.0,0.0,0.0
8445247ffffffff,30.0,0.0,0.0
8445249ffffffff,126.0,0.0,0.0
844524bffffffff,5.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445253ffffffff,17.0,0.0,0.0
8445255ffffffff,5.0,0.0,0.0
8445257ffffffff,64.0,0.0,0.0
844525bffffffff,2.0,0.0,0.0
8445261ffffffff,5.0,0.0,0.0
8445263ffffffff,146.0,0.0,0.0
8445269ffffffff,8.0,0.0,0.0
844526bffffffff,301.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445283ffffffff,5.0,0.0,0.0
8445285ffffffff,8.0,0.0,0.0
8445287ffffffff,15.0,0.0,0.0
8445289ffffffff,127.0,1.0,0.0
844528dffffffff,1.0,0.0,0.0
8445293ffffffff,2.0,0.0,0.0
8445295ffffffff,30.0,2.0,0.0
8445297ffffffff,2.0,0.0,0.0
844529bffffffff,36.0,1.0,0.0
84452a1ffffffff,25.0,0.0,0.0
84452a3ffffffff,58.0,2.0,0.0
84452a5ffffffff,246.0,0.0,0.0
84452a7ffffffff,65.0,5.0,0.0
84452a9ffffffff,128.0,0.0,0.0
84452abffffffff,9.0,0.0,0.0
84452adffffffff,4737.0,0.0,0.0
84452b5ffffffff,5.0,0.0,0.0
84452b9ffffffff,6.0,2.0,0.0
84452bdffffffff,71.0,7.0,0.0
84452c1ffffffff,41.0,9.0,0.0
84452c3ffffffff,751.0,71.0,0.0
84452c5ffffffff,21.0,0.0,0.0
84452c7ffffffff,1184.0,40.0,0.0
84452c9ffffffff,97.0,9.0,0.0
84452cbffffffff,32.0,0.0,0.0
84452d5ffffffff,2.0,2.0,0.0
84452d7ffffffff,4.0,0.0,0.0
84452d9ffffffff,63.0,33.0,0.0
84452dbffffffff,11.0,0.0,0.0
84452e1ffffffff,671.0,0.0,0.0
84452e3ffffffff,699.0,0.0,0.0
84452e5ffffffff,270.0,0.0,0.0
84452e7ffffffff,80.0,0.0,0.0
84452e9ffffffff,2.0,0.0,0.0
84452ebffffffff,319.0,7.0,0.0
84452edffffffff,28.0,0.0,0.0
8445301ffffffff,2.0,0.0,0.0
8445303ffffffff,15.0,0.0,0.0
8445309ffffffff,1.0,0.0,0.0
8445315ffffffff,3.0,0.0,0.0
8445319ffffffff,66.0,0.0,0.0
844531dffffffff,2.0,0.0,0.0
