cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
824527fffffffff,9.0,0.0,3.0
824997fffffffff,23.0,18.0,0.0
82660ffffffffff,1.0,0.0,0.0
82661ffffffffff,9.0,0.0,7.0
8266b7fffffffff,26.0,0.0,24.0
8266c7fffffffff,6.0,0.0,0.0
8266d7fffffffff,6.0,0.0,0.0
8266dffffffffff,6.0,0.0,1.0
8266e7fffffffff,8.0,0.0,0.0
8266f7fffffffff,4.0,0.0,1.0
826d27fffffffff,7.0,0.0,0.0
826d2ffffffffff,9.0,0.0,4.0
826d37fffffffff,4.0,2.0,0.0
826d67fffffffff,1.0,0.0,0.0
826d6ffffffffff,76.0,0.0,36.0
