cell_id,Chaetura vauxi,Chaetura vauxi vauxi,Chaetura vauxi gaumeri,Chaetura vauxi [richmondi Group],Chaetura vauxi aphanes
821287fffffffff,70.0,0.0,0.0,0.0,0.0
82128ffffffffff,26.0,0.0,0.0,0.0,0.0
82129ffffffffff,34.0,0.0,0.0,0.0,0.0
8212a7fffffffff,18.0,0.0,0.0,0.0,0.0
8212affffffffff,110.0,0.0,0.0,0.0,0.0
8212b7fffffffff,114.0,0.0,0.0,0.0,0.0
8212c7fffffffff,229.0,0.0,0.0,0.0,0.0
8212cffffffffff,712.0,0.0,0.0,0.0,0.0
8212d7fffffffff,823.0,0.0,0.0,0.0,0.0
8212dffffffffff,1716.0,0.0,0.0,0.0,0.0
8212f7fffffffff,59.0,0.0,0.0,0.0,0.0
821397fffffffff,72.0,0.0,0.0,0.0,0.0
82139ffffffffff,93.0,0.0,0.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0,0.0,0.0
822797fffffffff,4.0,0.0,0.0,0.0,0.0
822807fffffffff,2306.0,0.0,0.0,0.0,0.0
822817fffffffff,1179.0,0.0,0.0,0.0,0.0
82281ffffffffff,4129.0,0.0,0.0,0.0,0.0
822837fffffffff,4630.0,27.0,0.0,0.0,0.0
822887fffffffff,545.0,0.0,0.0,0.0,0.0
82288ffffffffff,2532.0,0.0,0.0,0.0,0.0
82289ffffffffff,1742.0,0.0,0.0,0.0,0.0
8228a7fffffffff,8.0,0.0,0.0,0.0,0.0
8228affffffffff,1311.0,10.0,0.0,0.0,0.0
8228b7fffffffff,3.0,0.0,0.0,0.0,0.0
8228c7fffffffff,849.0,0.0,0.0,0.0,0.0
8228cffffffffff,3.0,0.0,0.0,0.0,0.0
8228d7fffffffff,11094.0,0.0,0.0,0.0,0.0
8228dffffffffff,2099.0,0.0,0.0,0.0,0.0
8228f7fffffffff,17206.0,0.0,0.0,0.0,0.0
822917fffffffff,362.0,0.0,0.0,0.0,0.0
82291ffffffffff,590.0,0.0,0.0,0.0,0.0
822987fffffffff,176.0,0.0,0.0,0.0,0.0
82298ffffffffff,579.0,0.0,0.0,0.0,0.0
822997fffffffff,8.0,0.0,0.0,0.0,0.0
82299ffffffffff,4.0,0.0,0.0,0.0,0.0
8229a7fffffffff,4897.0,0.0,0.0,0.0,0.0
8229affffffffff,907.0,0.0,0.0,0.0,0.0
8229b7fffffffff,171.0,0.0,0.0,0.0,0.0
824427fffffffff,2.0,0.0,0.0,0.0,0.0
824507fffffffff,520.0,0.0,14.0,14.0,0.0
82450ffffffffff,7066.0,0.0,1216.0,0.0,0.0
82451ffffffffff,37.0,0.0,11.0,0.0,0.0
824527fffffffff,2476.0,0.0,0.0,10.0,0.0
82452ffffffffff,6002.0,0.0,27.0,72.0,0.0
824537fffffffff,787.0,0.0,0.0,0.0,0.0
824577fffffffff,119.0,0.0,23.0,0.0,0.0
824807fffffffff,2.0,0.0,0.0,0.0,0.0
82480ffffffffff,23.0,0.0,0.0,0.0,0.0
824817fffffffff,38.0,0.0,0.0,0.0,0.0
824837fffffffff,713.0,0.0,0.0,0.0,0.0
82484ffffffffff,16.0,0.0,0.0,0.0,0.0
824857fffffffff,7.0,0.0,0.0,0.0,0.0
82485ffffffffff,185.0,0.0,0.0,0.0,0.0
8248c7fffffffff,43.0,0.0,0.0,0.0,0.0
8248cffffffffff,4.0,0.0,0.0,0.0,0.0
8248e7fffffffff,2.0,0.0,0.0,0.0,0.0
8248effffffffff,1055.0,0.0,0.0,0.0,0.0
824987fffffffff,116.0,0.0,0.0,0.0,0.0
82498ffffffffff,10.0,0.0,0.0,0.0,0.0
824997fffffffff,2755.0,0.0,0.0,0.0,0.0
82499ffffffffff,209.0,0.0,0.0,30.0,0.0
8249a7fffffffff,8.0,0.0,0.0,0.0,0.0
8249affffffffff,491.0,3.0,0.0,0.0,0.0
8249b7fffffffff,319.0,0.0,0.0,0.0,0.0
825f4ffffffffff,9.0,0.0,0.0,0.0,0.0
82662ffffffffff,31.0,0.0,0.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0,0.0,0.0
826687fffffffff,10.0,0.0,0.0,0.0,0.0
8266a7fffffffff,621.0,0.0,0.0,44.0,0.0
8266b7fffffffff,3403.0,0.0,0.0,16.0,0.0
826747fffffffff,136.0,0.0,0.0,0.0,3.0
82674ffffffffff,88.0,0.0,0.0,0.0,0.0
826757fffffffff,19.0,0.0,0.0,0.0,0.0
82675ffffffffff,53.0,0.0,0.0,0.0,0.0
826797fffffffff,40.0,0.0,0.0,0.0,0.0
82679ffffffffff,92.0,0.0,0.0,0.0,0.0
826d07fffffffff,247.0,0.0,0.0,0.0,0.0
826d17fffffffff,201.0,0.0,0.0,0.0,0.0
826d27fffffffff,431.0,0.0,0.0,0.0,0.0
826d2ffffffffff,3920.0,0.0,0.0,0.0,0.0
826d37fffffffff,663.0,0.0,0.0,0.0,0.0
826d67fffffffff,1479.0,0.0,0.0,22.0,0.0
826d6ffffffffff,6833.0,0.0,0.0,23.0,0.0
826d77fffffffff,1385.0,0.0,0.0,0.0,0.0
