cell_id,Cyornis rufigastra,Cyornis rufigastra [rufigastra Group],Cyornis rufigastra [blythi Group]
83642cfffffffff,1.0,0.0,0.0
836435fffffffff,4.0,0.0,0.0
836501fffffffff,7.0,0.0,0.0
836503fffffffff,14.0,0.0,0.0
836505fffffffff,83.0,0.0,0.0
836506fffffffff,2.0,0.0,0.0
836518fffffffff,2.0,0.0,0.0
83651dfffffffff,81.0,0.0,0.0
83651efffffffff,4.0,0.0,0.0
836520fffffffff,1.0,0.0,0.0
836522fffffffff,2.0,0.0,0.0
836523fffffffff,1.0,0.0,0.0
836802fffffffff,2.0,0.0,0.0
836810fffffffff,11.0,0.0,0.0
836812fffffffff,2.0,0.0,0.0
836815fffffffff,64.0,4.0,0.0
836818fffffffff,8.0,0.0,0.0
836819fffffffff,9.0,0.0,0.0
83681afffffffff,3.0,0.0,0.0
83681bfffffffff,3.0,0.0,0.0
83681cfffffffff,1.0,1.0,0.0
83681dfffffffff,10.0,1.0,0.0
836828fffffffff,29.0,0.0,4.0
83682dfffffffff,6.0,0.0,0.0
836840fffffffff,21.0,0.0,4.0
836842fffffffff,4.0,0.0,4.0
836843fffffffff,6.0,0.0,0.0
836844fffffffff,31.0,0.0,5.0
836846fffffffff,26.0,0.0,5.0
836856fffffffff,5.0,0.0,5.0
836858fffffffff,2.0,0.0,0.0
83685dfffffffff,1.0,0.0,0.0
836862fffffffff,12.0,0.0,4.0
836863fffffffff,1.0,0.0,1.0
836865fffffffff,4.0,0.0,0.0
836866fffffffff,2.0,0.0,0.0
836871fffffffff,11.0,0.0,2.0
836875fffffffff,2.0,0.0,0.0
8368e4fffffffff,2.0,0.0,0.0
8368f6fffffffff,3.0,0.0,0.0
836941fffffffff,15.0,0.0,0.0
836943fffffffff,41.0,0.0,0.0
836945fffffffff,25.0,0.0,2.0
836948fffffffff,1.0,0.0,0.0
83694afffffffff,10.0,0.0,0.0
83694bfffffffff,1.0,0.0,0.0
83694efffffffff,172.0,0.0,20.0
836958fffffffff,17.0,0.0,0.0
836959fffffffff,10.0,0.0,6.0
83695cfffffffff,1.0,0.0,0.0
83695dfffffffff,5.0,0.0,0.0
83696afffffffff,9.0,0.0,2.0
83696dfffffffff,1.0,0.0,0.0
836999fffffffff,1.0,0.0,0.0
83699afffffffff,19.0,0.0,0.0
838c10fffffffff,2.0,0.0,0.0
838c88fffffffff,1.0,0.0,0.0
838c92fffffffff,4.0,0.0,0.0
838c95fffffffff,2.0,0.0,0.0
838cadfffffffff,3.0,0.0,0.0
838da6fffffffff,3.0,0.0,0.0
