cell_id,Synallaxis unirufa,Synallaxis unirufa unirufa,Synallaxis unirufa munoztebari,Synallaxis unirufa meridana,Synallaxis unirufa ochrogaster
83660bfffffffff,10.0,4.0,0.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0,2.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0,0.0,0.0
836621fffffffff,15.0,0.0,15.0,0.0,0.0
8366defffffffff,4.0,4.0,0.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0,0.0,0.0
838f54fffffffff,3.0,0.0,0.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0,0.0,2.0
838f72fffffffff,6.0,6.0,0.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0,0.0,1.0
