cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
826a4ffffffffff,19.0,3.0,0.0,0.0
826a57fffffffff,2.0,0.0,0.0,0.0
826a5ffffffffff,163.0,0.0,0.0,0.0
826aeffffffffff,1.0,1.0,0.0,0.0
827a47fffffffff,509.0,2.0,0.0,0.0
827a4ffffffffff,401.0,39.0,0.0,0.0
827a57fffffffff,2.0,0.0,0.0,0.0
827a5ffffffffff,11.0,1.0,0.0,0.0
827a67fffffffff,832.0,190.0,0.0,8.0
827a6ffffffffff,1360.0,19.0,748.0,0.0
827a77fffffffff,1.0,0.0,0.0,0.0
827adffffffffff,5.0,0.0,0.0,0.0
827aeffffffffff,176.0,24.0,0.0,0.0
827b4ffffffffff,34.0,9.0,0.0,0.0
827b5ffffffffff,11.0,0.0,0.0,0.0
827b6ffffffffff,2.0,0.0,0.0,0.0
829687fffffffff,3.0,0.0,0.0,0.0
829697fffffffff,601.0,49.0,155.0,21.0
82969ffffffffff,52.0,0.0,38.0,0.0
8296a7fffffffff,4.0,0.0,0.0,0.0
8296b7fffffffff,254.0,11.0,0.0,35.0
