cell_id,Sericornis frontalis,Sericornis frontalis laevigaster,Sericornis frontalis [frontalis Group]
84be089ffffffff,7.0,0.0,0.0
84be08dffffffff,2.0,0.0,0.0
84be0c3ffffffff,1.0,0.0,0.0
84be191ffffffff,2.0,0.0,0.0
84be4cbffffffff,3.0,0.0,0.0
84be549ffffffff,2.0,0.0,0.0
84be607ffffffff,3.0,0.0,1.0
84be631ffffffff,17.0,0.0,11.0
84be635ffffffff,7.0,0.0,7.0
84be63bffffffff,11.0,0.0,11.0
84be63dffffffff,3.0,0.0,2.0
84be68dffffffff,1.0,0.0,0.0
84be6adffffffff,2.0,0.0,0.0
84be713ffffffff,1.0,0.0,1.0
84be71bffffffff,1.0,0.0,0.0
84be72dffffffff,42.0,0.0,0.0
84be8d1ffffffff,18.0,0.0,0.0
84be8d5ffffffff,2.0,0.0,0.0
84be8d9ffffffff,7.0,0.0,0.0
84bede5ffffffff,3.0,0.0,0.0
