cell_id,Chalcites lucidus,Chalcites lucidus harterti,Chalcites lucidus layardi,Chalcites lucidus lucidus,Chalcites lucidus plagosus
829427fffffffff,3.0,0.0,0.0,0.0,0.0
829487fffffffff,5.0,0.0,0.0,0.0,0.0
829497fffffffff,2.0,0.0,0.0,0.0,0.0
829c27fffffffff,1.0,0.0,0.0,0.0,0.0
829c87fffffffff,1.0,0.0,0.0,0.0,0.0
829c97fffffffff,5.0,0.0,0.0,0.0,0.0
829d27fffffffff,2.0,0.0,0.0,0.0,0.0
829e17fffffffff,1.0,0.0,1.0,0.0,0.0
82a71ffffffffff,2.0,0.0,0.0,0.0,0.0
82a737fffffffff,1.0,0.0,0.0,0.0,0.0
82b917fffffffff,6.0,0.0,0.0,0.0,0.0
82b9affffffffff,2.0,0.0,0.0,0.0,2.0
82bb0ffffffffff,8.0,0.0,0.0,0.0,0.0
82bb57fffffffff,9.0,0.0,0.0,0.0,0.0
82be0ffffffffff,17.0,0.0,0.0,0.0,4.0
82be47fffffffff,12.0,0.0,0.0,0.0,2.0
82be4ffffffffff,9.0,0.0,0.0,0.0,1.0
82be67fffffffff,22.0,0.0,0.0,0.0,3.0
82be6ffffffffff,2.0,0.0,0.0,0.0,0.0
82be77fffffffff,35.0,0.0,0.0,0.0,6.0
82be8ffffffffff,35.0,0.0,0.0,30.0,1.0
82beaffffffffff,2.0,0.0,0.0,1.0,0.0
82bef7fffffffff,3.0,0.0,0.0,3.0,0.0
82bf8ffffffffff,3.0,0.0,0.0,1.0,0.0
82c997fffffffff,7.0,0.0,0.0,0.0,0.0
82da87fffffffff,8.0,0.0,0.0,0.0,0.0
82da97fffffffff,7.0,0.0,0.0,0.0,0.0
