cell_id,Muscicapa williamsoni,Muscicapa williamsoni williamsoni,Muscicapa williamsoni umbrosa
836422fffffffff,1.0,0.0,0.0
836426fffffffff,4.0,0.0,0.0
836431fffffffff,16.0,8.0,0.0
836433fffffffff,14.0,9.0,0.0
836434fffffffff,30.0,17.0,0.0
836435fffffffff,13.0,1.0,0.0
836500fffffffff,12.0,0.0,0.0
836502fffffffff,2.0,1.0,0.0
836505fffffffff,25.0,3.0,0.0
836518fffffffff,83.0,15.0,0.0
836519fffffffff,1.0,0.0,0.0
83651bfffffffff,37.0,9.0,0.0
83651cfffffffff,21.0,0.0,0.0
836520fffffffff,18.0,0.0,0.0
836522fffffffff,1.0,0.0,0.0
836526fffffffff,16.0,0.0,0.0
