cell_id,Cyanocompsa parellina,Cyanocompsa parellina parellina/beneplacita,Cyanocompsa parellina indigotica
824467fffffffff,2.0,0.0,0.0
82446ffffffffff,1.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0
824527fffffffff,104.0,0.0,0.0
82452ffffffffff,25.0,1.0,0.0
824537fffffffff,11.0,0.0,0.0
824817fffffffff,2.0,0.0,0.0
824837fffffffff,3.0,0.0,3.0
824887fffffffff,3.0,1.0,0.0
82489ffffffffff,60.0,1.0,0.0
8248a7fffffffff,5.0,0.0,0.0
8248b7fffffffff,664.0,1.0,0.0
824997fffffffff,9.0,3.0,0.0
8249a7fffffffff,2.0,0.0,2.0
8249affffffffff,10.0,0.0,4.0
826d17fffffffff,11.0,0.0,3.0
826d27fffffffff,1.0,1.0,0.0
826d2ffffffffff,16.0,0.0,0.0
826d37fffffffff,2.0,1.0,0.0
826d67fffffffff,38.0,0.0,0.0
826d77fffffffff,6.0,0.0,0.0
