cell_id,Symposiachrus bimaculatus,Symposiachrus bimaculatus bimaculatus,Symposiachrus bimaculatus diadematus,Symposiachrus bimaculatus nigrimentum
837390fffffffff,3.0,3.0,0.0,0.0
839561fffffffff,19.0,0.0,0.0,0.0
