cell_id,Laniarius fuelleborni,Laniarius fuelleborni usambaricus,Laniarius fuelleborni fuelleborni
827b4ffffffffff,192.0,75.0,0.0
8296a7fffffffff,59.0,0.0,1.0
8296b7fffffffff,142.0,0.0,0.0
82978ffffffffff,5.0,0.0,0.0
