cell_id,Chlamydotis undulata,Chlamydotis undulata fuertaventurae,Chlamydotis undulata undulata
8434691ffffffff,5.0,5.0,0.0
8434695ffffffff,307.0,217.0,0.0
8434697ffffffff,22.0,9.0,0.0
8434699ffffffff,156.0,76.0,0.0
843469dffffffff,21.0,10.0,0.0
84346bbffffffff,46.0,26.0,0.0
8438153ffffffff,1.0,0.0,0.0
8438161ffffffff,5.0,0.0,0.0
8438169ffffffff,5.0,0.0,0.0
843816dffffffff,2.0,0.0,0.0
8438321ffffffff,1.0,0.0,0.0
843832dffffffff,2.0,0.0,0.0
8438361ffffffff,4.0,0.0,0.0
8438a4dffffffff,5.0,0.0,0.0
8439887ffffffff,3.0,0.0,0.0
84398d3ffffffff,3.0,0.0,0.0
8439999ffffffff,1.0,0.0,0.0
8455131ffffffff,4.0,0.0,0.0
