cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
8408997ffffffff,1.0,0.0,1.0,0.0
84089a1ffffffff,1.0,0.0,1.0,0.0
84098e7ffffffff,1.0,0.0,0.0,0.0
8411059ffffffff,2.0,0.0,2.0,0.0
8411245ffffffff,1.0,0.0,0.0,0.0
8411811ffffffff,2.0,0.0,2.0,0.0
8411813ffffffff,6.0,0.0,6.0,0.0
8411815ffffffff,2.0,0.0,2.0,0.0
841181dffffffff,12.0,0.0,12.0,0.0
84118e9ffffffff,10.0,0.0,10.0,0.0
8411aa7ffffffff,6.0,0.0,6.0,0.0
8411ab1ffffffff,11.0,0.0,11.0,0.0
8411ab9ffffffff,2.0,0.0,2.0,0.0
8411ae3ffffffff,23.0,0.0,23.0,0.0
8411ae7ffffffff,2.0,0.0,2.0,0.0
8418493ffffffff,70.0,45.0,0.0,0.0
8418497ffffffff,28.0,28.0,0.0,0.0
841e007ffffffff,1.0,0.0,1.0,0.0
841e031ffffffff,2.0,0.0,0.0,0.0
841e033ffffffff,2.0,0.0,0.0,0.0
841e043ffffffff,1.0,0.0,0.0,0.0
841e047ffffffff,34.0,0.0,0.0,0.0
841e055ffffffff,17.0,0.0,0.0,0.0
841e05dffffffff,1.0,0.0,0.0,0.0
841e1a9ffffffff,5.0,0.0,0.0,0.0
841e2b7ffffffff,1.0,0.0,1.0,0.0
841e32bffffffff,1.0,0.0,0.0,0.0
841e803ffffffff,2.0,1.0,0.0,0.0
841e815ffffffff,5.0,5.0,0.0,0.0
841eac3ffffffff,3.0,3.0,0.0,0.0
841ec01ffffffff,1.0,0.0,0.0,0.0
841ec2bffffffff,1.0,0.0,0.0,0.0
841ec43ffffffff,2.0,0.0,0.0,0.0
841ec55ffffffff,2.0,0.0,0.0,0.0
841ec9bffffffff,5.0,0.0,0.0,0.0
841eca3ffffffff,3.0,0.0,0.0,0.0
841ecbbffffffff,2.0,0.0,0.0,0.0
841ecd5ffffffff,2.0,0.0,0.0,0.0
841ecd7ffffffff,2.0,0.0,0.0,0.0
841ecddffffffff,3.0,0.0,0.0,0.0
841ee29ffffffff,4.0,0.0,4.0,0.0
841ef01ffffffff,2.0,2.0,0.0,0.0
841f5adffffffff,2.0,0.0,0.0,0.0
841f5c5ffffffff,1.0,0.0,1.0,0.0
841f60bffffffff,3.0,0.0,3.0,0.0
841f881ffffffff,2.0,0.0,0.0,0.0
841f8ebffffffff,1.0,0.0,0.0,0.0
8420453ffffffff,1.0,0.0,0.0,0.0
84204a5ffffffff,2.0,0.0,2.0,0.0
84255a7ffffffff,2.0,0.0,0.0,0.0
842c215ffffffff,2.0,0.0,0.0,0.0
842e75dffffffff,1.0,0.0,1.0,0.0
842ead9ffffffff,3.0,0.0,3.0,0.0
842eaddffffffff,4.0,0.0,3.0,0.0
8430e1dffffffff,8.0,0.0,0.0,0.0
8431851ffffffff,19.0,0.0,0.0,0.0
8431853ffffffff,4.0,0.0,0.0,0.0
8431a87ffffffff,6.0,0.0,0.0,0.0
843f68bffffffff,4.0,2.0,0.0,0.0
844b0b3ffffffff,2.0,0.0,0.0,2.0
844b56dffffffff,18.0,0.0,0.0,18.0
844ba05ffffffff,2.0,0.0,0.0,0.0
844ba21ffffffff,2.0,0.0,0.0,0.0
844ba27ffffffff,8.0,0.0,0.0,0.0
844ba2bffffffff,2.0,0.0,0.0,0.0
