cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
8445203ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8445207ffffffff,6.0,0.0,0.0,0.0,0.0,2.0,0.0
844520bffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8445211ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8445215ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8445225ffffffff,8.0,0.0,0.0,0.0,0.0,6.0,0.0
8445233ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8445257ffffffff,15.0,0.0,0.0,0.0,0.0,3.0,0.0
84452e5ffffffff,35.0,0.0,0.0,0.0,0.0,3.0,0.0
84452edffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
846608dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
846610bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466131ffffffff,8.0,0.0,0.0,1.0,0.0,0.0,2.0
8466165ffffffff,17.0,16.0,0.0,0.0,0.0,1.0,0.0
8466197ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
846619bffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
84661a5ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
84661bbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
84661cdffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
84661d1ffffffff,54.0,0.0,0.0,0.0,0.0,3.0,51.0
84661ddffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0
846622bffffffff,20.0,0.0,0.0,0.0,0.0,10.0,0.0
84662d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466a5bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b01ffffffff,7.0,0.0,0.0,0.0,0.0,7.0,0.0
8466b09ffffffff,28.0,0.0,0.0,0.0,0.0,28.0,0.0
8466b0bffffffff,37.0,1.0,0.0,0.0,0.0,36.0,0.0
8466b41ffffffff,15.0,0.0,0.0,0.0,0.0,15.0,0.0
8466b43ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
8466b45ffffffff,26.0,0.0,0.0,0.0,0.0,26.0,0.0
8466b47ffffffff,31.0,0.0,0.0,0.0,0.0,31.0,0.0
8466b49ffffffff,311.0,2.0,0.0,0.0,0.0,297.0,0.0
8466b4bffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
8466b4dffffffff,37.0,0.0,0.0,0.0,0.0,37.0,0.0
8466b55ffffffff,32.0,2.0,0.0,0.0,0.0,30.0,0.0
8466d03ffffffff,7.0,0.0,0.0,1.0,0.0,0.0,6.0
8466d05ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8466d07ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,21.0
8466d23ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8466d27ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0
8466d31ffffffff,871.0,0.0,0.0,0.0,0.0,0.0,866.0
8466d35ffffffff,407.0,0.0,0.0,2.0,1.0,0.0,403.0
8466d37ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,6.0
8466d3dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,9.0
8466e47ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
8466e67ffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
8466e69ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
8466e6dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
8466f03ffffffff,4.0,0.0,0.0,2.0,0.0,0.0,2.0
8466f1dffffffff,25.0,0.0,0.0,2.0,0.0,6.0,1.0
846758dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84675a9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84675e3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
846792dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84679a1ffffffff,22.0,0.0,0.0,0.0,0.0,22.0,0.0
84679a5ffffffff,195.0,5.0,0.0,0.0,0.0,190.0,0.0
84679a7ffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
84679b5ffffffff,7.0,0.0,0.0,0.0,0.0,7.0,0.0
84679b7ffffffff,25.0,0.0,0.0,0.0,0.0,25.0,0.0
846d653ffffffff,7.0,0.0,0.0,0.0,0.0,1.0,0.0
846d659ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
846d681ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
846d68bffffffff,22.0,0.0,0.0,0.0,0.0,22.0,0.0
846d68dffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
846d691ffffffff,37.0,0.0,0.0,0.0,0.0,37.0,0.0
846d693ffffffff,15.0,0.0,0.0,0.0,0.0,4.0,0.0
846d697ffffffff,9.0,0.0,0.0,0.0,0.0,7.0,0.0
846d699ffffffff,9.0,0.0,0.0,0.0,0.0,9.0,0.0
846d69bffffffff,398.0,6.0,0.0,0.0,0.0,392.0,0.0
846d69dffffffff,136.0,0.0,0.0,0.0,0.0,136.0,0.0
846d6d3ffffffff,21.0,0.0,0.0,0.0,0.0,21.0,0.0
848f0d1ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
848f0dbffffffff,15.0,0.0,0.0,0.0,2.0,0.0,13.0
848f2a9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,5.0
