cell_id,Trachylaemus goffinii,Trachylaemus goffinii goffinii,Trachylaemus goffinii togoensis
8458833ffffffff,1.0,0.0,0.0
847501bffffffff,1.0,0.0,0.0
8475085ffffffff,48.0,4.0,0.0
8475087ffffffff,21.0,5.0,0.0
84750c5ffffffff,6.0,0.0,0.0
84750c9ffffffff,3.0,0.0,0.0
84750d1ffffffff,284.0,50.0,0.0
84750d3ffffffff,2.0,1.0,0.0
84750d7ffffffff,3.0,0.0,0.0
84750d9ffffffff,15.0,0.0,0.0
84750ddffffffff,6.0,0.0,0.0
8475187ffffffff,3.0,0.0,0.0
8475191ffffffff,4.0,0.0,0.0
8475195ffffffff,1.0,0.0,0.0
8475295ffffffff,41.0,6.0,0.0
847529bffffffff,1.0,0.0,0.0
84752a3ffffffff,1.0,0.0,0.0
84752a5ffffffff,1.0,0.0,0.0
84752a9ffffffff,2.0,0.0,0.0
84752abffffffff,9.0,0.0,0.0
84752b5ffffffff,26.0,4.0,0.0
84752dbffffffff,6.0,0.0,0.0
8475769ffffffff,1.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0
84758c9ffffffff,1.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,1.0,0.0
8475b07ffffffff,1.0,1.0,0.0
8475b33ffffffff,1.0,0.0,0.0
