cell_id,Turdus nigrorum,Turdus nigrorum nigrorum,Turdus nigrorum malindangensis,Turdus nigrorum katanglad,Turdus nigrorum kelleri
83685cfffffffff,3.0,0.0,0.0,0.0,3.0
83685dfffffffff,15.0,0.0,0.0,0.0,15.0
836871fffffffff,3.0,0.0,0.0,0.0,0.0
