cell_id,Polioptila plumbea,Polioptila plumbea plumbiceps/anteocularis,Polioptila plumbea innotata,Polioptila plumbea plumbea,Polioptila plumbea parvirostris,Polioptila plumbea atricapilla
835f4afffffffff,1.0,1.0,0.0,0.0,0.0,0.0
835f4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
83662bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83662cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8366e6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836741fffffffff,4.0,1.0,0.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836743fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836753fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836755fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838044fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838073fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838121fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
838124fffffffff,16.0,0.0,0.0,0.0,0.0,16.0
838133fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838150fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
8381adfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
838af0fffffffff,2.0,0.0,2.0,0.0,0.0,0.0
838b40fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
83a88efffffffff,1.0,0.0,0.0,0.0,0.0,1.0
