cell_id,Zosterops virens,Zosterops virens capensis,Zosterops virens virens
839728fffffffff,19.0,0.0,9.0
839729fffffffff,2.0,0.0,0.0
83972cfffffffff,3.0,0.0,0.0
83972dfffffffff,346.0,0.0,76.0
83972efffffffff,7.0,0.0,1.0
83ad12fffffffff,8.0,0.0,0.0
83ad32fffffffff,271.0,76.0,0.0
83ad36fffffffff,2656.0,874.0,0.0
83ad86fffffffff,1.0,0.0,0.0
83ada2fffffffff,9.0,0.0,0.0
83ada4fffffffff,3.0,0.0,0.0
83adb0fffffffff,4.0,0.0,0.0
83adb1fffffffff,1.0,0.0,0.0
83bc09fffffffff,35.0,11.0,0.0
83bc0afffffffff,2.0,0.0,0.0
83bc0bfffffffff,39.0,2.0,0.0
83bc19fffffffff,63.0,6.0,0.0
83bc1bfffffffff,166.0,0.0,15.0
83bc40fffffffff,63.0,8.0,0.0
83bc41fffffffff,54.0,29.0,0.0
83bc42fffffffff,2.0,2.0,0.0
83bc43fffffffff,62.0,16.0,0.0
83bc44fffffffff,145.0,37.0,0.0
83bc45fffffffff,368.0,89.0,0.0
83bc46fffffffff,14.0,0.0,0.0
83bc48fffffffff,13.0,0.0,0.0
83bc49fffffffff,92.0,41.0,0.0
83bc4bfffffffff,6.0,0.0,0.0
83bc4cfffffffff,7.0,3.0,0.0
83bc4dfffffffff,195.0,63.0,0.0
83bc4efffffffff,4.0,4.0,0.0
83bc50fffffffff,4.0,0.0,0.0
83bc51fffffffff,4.0,0.0,0.0
83bc53fffffffff,1.0,0.0,0.0
83bc54fffffffff,18.0,4.0,0.0
83bc55fffffffff,19.0,3.0,0.0
83bc5cfffffffff,7.0,2.0,0.0
83bc5efffffffff,10.0,0.0,0.0
83bc68fffffffff,154.0,46.0,0.0
83bc69fffffffff,637.0,217.0,0.0
83bc6afffffffff,352.0,95.0,0.0
83bc6bfffffffff,161.0,25.0,0.0
83bc71fffffffff,39.0,0.0,0.0
83bc72fffffffff,13.0,0.0,0.0
83bc73fffffffff,124.0,20.0,0.0
83bc89fffffffff,4.0,0.0,0.0
83bcc0fffffffff,4.0,0.0,0.0
83bcc1fffffffff,12.0,0.0,0.0
83bcc2fffffffff,76.0,0.0,9.0
83bcc3fffffffff,709.0,0.0,166.0
83bcc4fffffffff,77.0,0.0,13.0
83bcc6fffffffff,44.0,0.0,6.0
83bccafffffffff,6.0,0.0,0.0
83bcccfffffffff,4.0,0.0,0.0
83bcd0fffffffff,588.0,0.0,168.0
83bcd1fffffffff,119.0,0.0,19.0
83bcd2fffffffff,185.0,0.0,28.0
83bcd3fffffffff,121.0,0.0,33.0
83bcd4fffffffff,127.0,0.0,50.0
83bcd5fffffffff,18.0,0.0,7.0
83bcd6fffffffff,26.0,0.0,8.0
83bcd8fffffffff,27.0,0.0,6.0
83bcd9fffffffff,7.0,0.0,0.0
83bcdafffffffff,2.0,0.0,0.0
83bcdcfffffffff,418.0,0.0,113.0
83bcddfffffffff,53.0,0.0,14.0
83bcdefffffffff,60.0,0.0,0.0
83bce0fffffffff,8.0,0.0,0.0
83bce1fffffffff,4.0,0.0,0.0
83bce2fffffffff,321.0,9.0,49.0
83bce3fffffffff,5.0,0.0,0.0
83bce5fffffffff,4.0,0.0,0.0
83bce6fffffffff,253.0,0.0,43.0
83bce9fffffffff,1.0,0.0,0.0
83bcecfffffffff,2.0,0.0,0.0
83bcedfffffffff,1.0,0.0,0.0
83bceefffffffff,2.0,0.0,0.0
83bcf0fffffffff,216.0,2.0,30.0
83bcf1fffffffff,29.0,0.0,1.0
83bcf2fffffffff,189.0,0.0,27.0
83bcf3fffffffff,93.0,0.0,12.0
83bcf4fffffffff,106.0,0.0,23.0
83bcf5fffffffff,1121.0,10.0,518.0
83bcf6fffffffff,181.0,0.0,14.0
