cell_id,Campylorhynchus zonatus,Campylorhynchus zonatus [zonatus Group],Campylorhynchus zonatus costaricensis/panamensis,Campylorhynchus zonatus brevirostris/curvirostris
834520fffffffff,109.0,0.0,0.0,0.0
834521fffffffff,53.0,0.0,0.0,0.0
834523fffffffff,11.0,0.0,0.0,0.0
834524fffffffff,175.0,0.0,0.0,0.0
834525fffffffff,102.0,0.0,0.0,0.0
834526fffffffff,72.0,0.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0,0.0
83452cfffffffff,107.0,0.0,0.0,0.0
83452dfffffffff,13.0,0.0,0.0,0.0
83452efffffffff,2093.0,0.0,0.0,0.0
834530fffffffff,5.0,0.0,0.0,0.0
834534fffffffff,16.0,0.0,0.0,0.0
834535fffffffff,129.0,0.0,0.0,0.0
834564fffffffff,41.0,0.0,0.0,0.0
834990fffffffff,62.0,0.0,0.0,0.0
834991fffffffff,21.0,0.0,0.0,0.0
834992fffffffff,24.0,0.0,0.0,0.0
834993fffffffff,19.0,0.0,0.0,0.0
834994fffffffff,16.0,0.0,0.0,0.0
834996fffffffff,6971.0,0.0,0.0,0.0
834998fffffffff,38.0,0.0,0.0,0.0
83499cfffffffff,26.0,0.0,0.0,0.0
83499efffffffff,10.0,0.0,0.0,0.0
836600fffffffff,19.0,0.0,0.0,0.0
836602fffffffff,18.0,0.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0,0.0
836604fffffffff,54.0,0.0,0.0,0.0
836606fffffffff,67.0,0.0,0.0,0.0
836608fffffffff,261.0,0.0,0.0,0.0
83660afffffffff,56.0,0.0,0.0,0.0
83660efffffffff,20.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,1492.0,0.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0,0.0
83661dfffffffff,15.0,0.0,0.0,0.0
836621fffffffff,10.0,0.0,0.0,0.0
836622fffffffff,35.0,0.0,0.0,0.0
836623fffffffff,2.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0
836631fffffffff,33.0,0.0,0.0,0.0
8366b4fffffffff,658.0,0.0,0.0,0.0
8366b5fffffffff,127.0,0.0,0.0,0.0
8366d0fffffffff,19.0,0.0,0.0,0.0
8366d2fffffffff,56.0,0.0,0.0,0.0
8366d3fffffffff,578.0,0.0,0.0,0.0
8366e0fffffffff,230.0,0.0,0.0,0.0
8366e4fffffffff,1156.0,0.0,0.0,0.0
8366e6fffffffff,41.0,0.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0,0.0
83679afffffffff,1114.0,0.0,0.0,0.0
83679bfffffffff,131.0,0.0,0.0,0.0
836d04fffffffff,5.0,0.0,0.0,0.0
836d05fffffffff,5.0,0.0,0.0,0.0
836d20fffffffff,211.0,0.0,0.0,0.0
836d21fffffffff,146.0,0.0,0.0,0.0
836d22fffffffff,52.0,0.0,0.0,0.0
836d23fffffffff,1217.0,0.0,0.0,0.0
836d24fffffffff,122.0,0.0,0.0,0.0
836d25fffffffff,96.0,0.0,0.0,0.0
836d26fffffffff,26.0,0.0,0.0,0.0
836d28fffffffff,2419.0,0.0,0.0,0.0
836d29fffffffff,3689.0,0.0,0.0,0.0
836d2afffffffff,345.0,0.0,0.0,0.0
836d2bfffffffff,1114.0,0.0,0.0,0.0
836d2cfffffffff,219.0,0.0,0.0,0.0
836d2dfffffffff,3664.0,0.0,0.0,0.0
836d2efffffffff,172.0,0.0,0.0,0.0
836d30fffffffff,576.0,0.0,0.0,0.0
836d31fffffffff,166.0,0.0,0.0,0.0
836d34fffffffff,1458.0,0.0,0.0,0.0
836d35fffffffff,1916.0,0.0,0.0,0.0
836d36fffffffff,140.0,0.0,0.0,0.0
836d60fffffffff,114.0,0.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0,0.0
836d64fffffffff,1301.0,0.0,0.0,0.0
836d65fffffffff,1860.0,0.0,0.0,0.0
836d66fffffffff,32.0,0.0,0.0,0.0
836d68fffffffff,48.0,0.0,0.0,0.0
836d69fffffffff,2119.0,0.0,0.0,0.0
836d6dfffffffff,31.0,0.0,0.0,0.0
836d74fffffffff,14.0,0.0,0.0,0.0
838f2cfffffffff,39.0,0.0,0.0,0.0
