cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
835f01fffffffff,15.0,0.0,0.0
835f02fffffffff,8.0,0.0,0.0
835f03fffffffff,187.0,13.0,0.0
835f06fffffffff,3.0,0.0,0.0
835f08fffffffff,11.0,0.0,0.0
835f09fffffffff,97.0,0.0,0.0
835f0dfffffffff,29.0,0.0,0.0
835f10fffffffff,29.0,0.0,0.0
835f11fffffffff,6.0,0.0,0.0
835f12fffffffff,12.0,0.0,0.0
835f13fffffffff,33.0,0.0,0.0
835f14fffffffff,18.0,0.0,0.0
835f16fffffffff,15.0,0.0,0.0
835f1cfffffffff,59.0,0.0,0.0
835f22fffffffff,4.0,2.0,0.0
835f23fffffffff,1.0,0.0,0.0
835f29fffffffff,27.0,0.0,0.0
835f2bfffffffff,1714.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0
835f2dfffffffff,6.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,62.0,0.0,0.0
835f42fffffffff,50.0,2.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f45fffffffff,1.0,0.0,0.0
835f46fffffffff,8.0,0.0,0.0
835f48fffffffff,14.0,0.0,0.0
835f4afffffffff,53.0,0.0,0.0
835f4bfffffffff,19.0,0.0,0.0
835f4efffffffff,14.0,0.0,0.0
835f50fffffffff,27.0,0.0,0.0
835f54fffffffff,59.0,0.0,0.0
835f56fffffffff,6.0,0.0,0.0
835f59fffffffff,1.0,1.0,0.0
835f5dfffffffff,21.0,0.0,0.0
835f63fffffffff,2.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,89.0,6.0,0.0
835f70fffffffff,3.0,0.0,0.0
835f71fffffffff,106.0,10.0,0.0
835f75fffffffff,126.0,1.0,0.0
835f76fffffffff,13.0,0.0,0.0
836609fffffffff,8.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0
83660dfffffffff,124.0,0.0,0.0
836629fffffffff,58.0,0.0,0.0
83662bfffffffff,17.0,0.0,0.0
836640fffffffff,4.0,0.0,0.0
836641fffffffff,727.0,0.0,13.0
836643fffffffff,3.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,25.0,0.0,0.0
83664efffffffff,6.0,0.0,0.0
836650fffffffff,20.0,0.0,0.0
836651fffffffff,4.0,0.0,0.0
836652fffffffff,612.0,0.0,0.0
836653fffffffff,4.0,0.0,0.0
836654fffffffff,9.0,0.0,0.0
836656fffffffff,104.0,0.0,0.0
83665afffffffff,761.0,0.0,77.0
83665bfffffffff,396.0,0.0,28.0
83665efffffffff,163.0,0.0,0.0
836663fffffffff,35.0,0.0,2.0
83666afffffffff,5.0,0.0,0.0
83666bfffffffff,11.0,0.0,2.0
83666cfffffffff,8.0,0.0,0.0
83666efffffffff,20.0,0.0,9.0
836670fffffffff,9.0,0.0,0.0
836672fffffffff,27.0,0.0,0.0
836674fffffffff,2.0,0.0,0.0
836675fffffffff,1.0,0.0,0.0
836676fffffffff,15.0,0.0,0.0
