cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
8409993ffffffff,1.0,1.0,0.0
8418741ffffffff,1.0,0.0,0.0
8418747ffffffff,2.0,0.0,0.0
8418749ffffffff,4.0,0.0,0.0
8419407ffffffff,1.0,1.0,0.0
8419411ffffffff,1.0,0.0,0.0
8419413ffffffff,3.0,0.0,0.0
8419415ffffffff,9.0,4.0,0.0
8419417ffffffff,15.0,2.0,0.0
8419421ffffffff,2.0,0.0,0.0
8419423ffffffff,21.0,0.0,0.0
841942bffffffff,2.0,0.0,0.0
84194adffffffff,2.0,2.0,0.0
84194bbffffffff,2.0,2.0,0.0
8419519ffffffff,6.0,0.0,0.0
841951bffffffff,2.0,0.0,0.0
8419547ffffffff,7.0,0.0,0.0
841954dffffffff,2.0,2.0,0.0
84195c5ffffffff,5.0,0.0,0.0
84195c7ffffffff,2.0,0.0,0.0
84195c9ffffffff,2.0,2.0,0.0
84195d9ffffffff,3.0,0.0,0.0
84195ddffffffff,2.0,0.0,0.0
841969dffffffff,3.0,0.0,0.0
84196bbffffffff,3.0,0.0,0.0
84196dbffffffff,4.0,0.0,0.0
841e01bffffffff,1.0,1.0,0.0
841e0ddffffffff,1.0,0.0,0.0
841e2a3ffffffff,2.0,0.0,0.0
841e2b7ffffffff,2.0,0.0,0.0
841e505ffffffff,1.0,1.0,0.0
841e527ffffffff,2.0,2.0,0.0
841e529ffffffff,5.0,5.0,0.0
841ea4dffffffff,2.0,2.0,0.0
841ec07ffffffff,1.0,0.0,0.0
841ec21ffffffff,4.0,0.0,0.0
841ec23ffffffff,2.0,0.0,0.0
841ec39ffffffff,17.0,6.0,0.0
841ec47ffffffff,3.0,0.0,0.0
841f145ffffffff,2.0,0.0,0.0
841f311ffffffff,4.0,2.0,0.0
841f357ffffffff,5.0,4.0,0.0
841f715ffffffff,1.0,0.0,0.0
841f827ffffffff,2.0,0.0,0.0
841f835ffffffff,2.0,0.0,0.0
841f837ffffffff,4.0,1.0,0.0
841f8a1ffffffff,2.0,0.0,0.0
841f8a9ffffffff,1.0,1.0,0.0
841f8adffffffff,5.0,3.0,0.0
841f8ebffffffff,2.0,0.0,0.0
841f9a5ffffffff,4.0,0.0,0.0
841f9a7ffffffff,3.0,1.0,0.0
841f9adffffffff,1.0,0.0,0.0
841f9e1ffffffff,2.0,0.0,0.0
841f9e5ffffffff,4.0,0.0,0.0
841f9e7ffffffff,2.0,0.0,0.0
841fac1ffffffff,1.0,1.0,0.0
841fad1ffffffff,2.0,2.0,0.0
841faebffffffff,2.0,0.0,0.0
841fb55ffffffff,2.0,0.0,0.0
8420e61ffffffff,1.0,0.0,1.0
8425095ffffffff,1.0,1.0,0.0
84255a3ffffffff,3.0,0.0,0.0
84255abffffffff,3.0,0.0,0.0
84255b5ffffffff,1.0,1.0,0.0
84255bdffffffff,1.0,1.0,0.0
842e757ffffffff,2.0,0.0,0.0
842e75dffffffff,4.0,0.0,0.0
843142dffffffff,1.0,0.0,0.0
84316e5ffffffff,1.0,0.0,0.0
8431767ffffffff,2.0,2.0,0.0
84396dbffffffff,1.0,0.0,0.0
