cell_id,Sitta europaea,Sitta europaea [europaea Group],Sitta europaea [asiatica Group],Sitta europaea [roseilia Group],Sitta europaea sinensis/formosana
820887fffffffff,28.0,26.0,0.0,0.0,0.0
820897fffffffff,2.0,2.0,0.0,0.0,0.0
82089ffffffffff,4.0,2.0,0.0,0.0,0.0
8208a7fffffffff,8.0,8.0,0.0,0.0,0.0
8208b7fffffffff,4.0,4.0,0.0,0.0,0.0
82118ffffffffff,2.0,0.0,0.0,0.0,0.0
82149ffffffffff,2.0,0.0,0.0,2.0,0.0
82158ffffffffff,2.0,0.0,0.0,0.0,0.0
82159ffffffffff,4.0,0.0,4.0,0.0,0.0
82184ffffffffff,21.0,4.0,0.0,0.0,0.0
82185ffffffffff,8.0,8.0,0.0,0.0,0.0
821867fffffffff,3.0,2.0,0.0,0.0,0.0
82190ffffffffff,5.0,2.0,0.0,0.0,0.0
821947fffffffff,1.0,0.0,0.0,0.0,0.0
82194ffffffffff,2.0,2.0,0.0,0.0,0.0
821957fffffffff,13.0,1.0,0.0,0.0,0.0
82195ffffffffff,8.0,2.0,0.0,0.0,0.0
82196ffffffffff,1.0,0.0,0.0,0.0,0.0
821e07fffffffff,21.0,10.0,0.0,0.0,0.0
821e0ffffffffff,13.0,1.0,0.0,0.0,0.0
821e17fffffffff,1.0,0.0,0.0,0.0,0.0
821e27fffffffff,4.0,2.0,0.0,0.0,0.0
821e37fffffffff,10.0,10.0,0.0,0.0,0.0
821e47fffffffff,6.0,0.0,0.0,0.0,0.0
821e57fffffffff,8.0,8.0,0.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0,0.0,0.0
821ec7fffffffff,11.0,0.0,0.0,0.0,0.0
821edffffffffff,2.0,0.0,0.0,0.0,0.0
821ee7fffffffff,3.0,3.0,0.0,0.0,0.0
821eeffffffffff,2.0,0.0,0.0,0.0,0.0
821ef7fffffffff,2.0,0.0,0.0,0.0,0.0
821f1ffffffffff,7.0,7.0,0.0,0.0,0.0
821f27fffffffff,2.0,2.0,0.0,0.0,0.0
821f2ffffffffff,13.0,13.0,0.0,0.0,0.0
821f9ffffffffff,1.0,1.0,0.0,0.0,0.0
821fa7fffffffff,10.0,0.0,0.0,0.0,0.0
821faffffffffff,122.0,121.0,0.0,0.0,0.0
821fb7fffffffff,2.0,2.0,0.0,0.0,0.0
82206ffffffffff,2.0,0.0,2.0,0.0,0.0
822427fffffffff,1.0,0.0,1.0,0.0,0.0
82255ffffffffff,10.0,0.0,6.0,0.0,0.0
822c1ffffffffff,5.0,0.0,0.0,0.0,0.0
822c2ffffffffff,4.0,4.0,0.0,0.0,0.0
822e1ffffffffff,2.0,0.0,0.0,0.0,0.0
822eaffffffffff,2.0,0.0,2.0,0.0,0.0
823147fffffffff,1.0,0.0,0.0,0.0,0.0
823167fffffffff,1.0,0.0,0.0,0.0,0.0
823187fffffffff,3.0,0.0,0.0,0.0,3.0
8231affffffffff,7.0,0.0,0.0,0.0,0.0
823907fffffffff,94.0,65.0,0.0,0.0,0.0
82390ffffffffff,55.0,6.0,0.0,0.0,0.0
823917fffffffff,12.0,4.0,0.0,0.0,0.0
82391ffffffffff,5.0,2.0,0.0,0.0,0.0
823927fffffffff,26.0,2.0,0.0,0.0,0.0
82392ffffffffff,25.0,8.0,0.0,0.0,0.0
823937fffffffff,4.0,0.0,0.0,0.0,0.0
823947fffffffff,2.0,2.0,0.0,0.0,0.0
823967fffffffff,5.0,5.0,0.0,0.0,0.0
82396ffffffffff,15.0,0.0,0.0,0.0,0.0
823977fffffffff,28.0,3.0,0.0,0.0,0.0
8240d7fffffffff,2.0,0.0,0.0,0.0,2.0
8240effffffffff,2.0,0.0,0.0,0.0,2.0
824ba7fffffffff,33.0,0.0,0.0,0.0,2.0
