cell_id,Catamenia homochroa,Catamenia homochroa oreophila,Catamenia homochroa homochroa,Catamenia homochroa duncani
835f70fffffffff,13.0,0.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,23.0,0.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0,0.0
83660dfffffffff,3.0,0.0,0.0,0.0
836618fffffffff,19.0,0.0,0.0,0.0
836619fffffffff,11.0,0.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0,0.0
83661dfffffffff,24.0,0.0,0.0,0.0
836620fffffffff,430.0,0.0,0.0,0.0
836621fffffffff,437.0,0.0,0.0,0.0
836623fffffffff,26.0,0.0,0.0,0.0
836629fffffffff,9.0,0.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0,0.0
83662dfffffffff,3.0,0.0,0.0,0.0
83662efffffffff,1.0,0.0,0.0,0.0
8366c2fffffffff,7.0,0.0,0.0,0.0
8366c4fffffffff,3.0,0.0,0.0,0.0
8366c6fffffffff,20.0,0.0,0.0,0.0
8366d1fffffffff,18.0,0.0,0.0,0.0
8366d3fffffffff,82.0,0.0,0.0,0.0
8366d5fffffffff,11.0,0.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0
8366defffffffff,228.0,0.0,0.0,0.0
8366e0fffffffff,92.0,0.0,0.0,0.0
8366e2fffffffff,5.0,0.0,0.0,0.0
8366e4fffffffff,82.0,0.0,0.0,0.0
8366e5fffffffff,15.0,0.0,0.0,0.0
8366e6fffffffff,2054.0,0.0,0.0,0.0
8366f1fffffffff,3.0,0.0,0.0,0.0
8366f5fffffffff,11.0,0.0,0.0,0.0
838b2cfffffffff,11.0,0.0,0.0,0.0
838b61fffffffff,58.0,0.0,0.0,0.0
838b6cfffffffff,30.0,0.0,0.0,0.0
838b75fffffffff,1.0,0.0,0.0,0.0
838e60fffffffff,4.0,0.0,0.0,0.0
838e61fffffffff,3.0,0.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0,0.0
838e65fffffffff,16.0,0.0,0.0,0.0
838e6dfffffffff,4.0,0.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0,0.0
838f2dfffffffff,9.0,0.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0,0.0
838f46fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,1.0,0.0,0.0,0.0
838f51fffffffff,8.0,0.0,0.0,0.0
838f54fffffffff,9.0,0.0,0.0,0.0
838f55fffffffff,22.0,0.0,0.0,0.0
838f59fffffffff,28.0,0.0,0.0,0.0
838f72fffffffff,24.0,0.0,0.0,0.0
838f76fffffffff,66.0,0.0,0.0,0.0
83b321fffffffff,5.0,0.0,0.0,0.0
83b325fffffffff,4.0,0.0,0.0,0.0
