cell_id,Arborophila cambodiana,Arborophila cambodiana diversa,Arborophila cambodiana cambodiana/chandamonyi
8465801ffffffff,11.0,0.0,4.0
8465803ffffffff,60.0,0.0,4.0
846580bffffffff,1.0,0.0,0.0
8465817ffffffff,3.0,0.0,1.0
8465851ffffffff,62.0,1.0,5.0
8465859ffffffff,1.0,0.0,0.0
846585dffffffff,2.0,0.0,0.0
